capital,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country,lat,lon
Abuja,2006,27.20068493150685,2.3515644364573105,1334.4,161,0.0,0,43654.57498630137,34086.71657534247,1,Nigeria,9.055555555,7.491388888
Accra,2006,27.013424657534244,1.4743775173530171,521.3,110,0.0,0,43638.922,35755.6853150685,1,Ghana,5.55602,-0.1969
Addis Ababa,2006,15.766301369863013,1.0369353446221607,1811.7,187,0.0,0,43654.57498630137,37448.14202739726,1,Ethiopia,9.027222222,38.736944444
Algiers,2006,18.81890410958904,5.983417919928049,497.1,70,0.0,0,43885.4521369863,36809.35375342466,4,Algeria,36.776388888,3.058611111
Alofi,2006,25.130273972602737,1.456934887149096,2347.6,182,0.0,0,43575.55706849315,34622.52849315068,3,Niue,-19.056,-169.921
Amman,2006,17.38054794520548,7.149869723398359,135.7,27,0.5599999999999999,0,43825.53430136986,38997.35731506849,4,Jordan,31.95,35.933333333
Amsterdam,2006,11.110273972602739,6.655279440431285,707.5,133,11.97,5,44215.54512328767,27497.891616438355,2,Kingdom of the Netherlands,52.366666666,4.883333333
Andorra la Vella,2006,11.250273972602741,7.30205544083284,478.4,80,64.19,11,43975.01580821918,35947.62473972602,2,Andorra,42.507222222,1.522222222
Antananarivo,2006,18.582465753424657,2.658648948813521,560.2,76,0.0,0,43575.75652054795,35555.61739726027,1,Madagascar,-18.91,47.525
Apia,2006,26.30890410958904,0.720993213079875,3534.2,297,0.0,0,43582.36493150685,35213.140191780825,3,Samoa,-13.833333333,-171.833333333
Asmara,2006,17.346301369863014,1.4046307899869754,1213.2,130,0.0,0,43688.76728767123,38014.5262739726,1,Eritrea,15.333333333,38.916666666
Astana,2006,4.256164383561644,13.958561478330514,220.7,52,68.46,28,44177.435013698625,29191.4561369863,0,Kazakhstan,51.133333333,71.433333333
Asunción,2006,24.18082191780822,4.7839764465637264,1393.7,105,0.0,0,43572.611397260276,34730.79205479452,1,Paraguay,-25.28,-57.634444444
Athens,2006,17.03945205479452,7.635971100258705,340.7,53,15.47,5,43902.28668493151,36420.80983561644,2,Greece,37.984166666,23.728055555
Avarua,2006,24.334246575342465,1.7284520466287445,2179.0,175,0.0,0,43573.90863013699,33497.02284931507,3,Cook Islands,-21.207,-159.771
Baghdad,2006,25.406712328767124,10.563956974719334,158.4,32,0.0,0,43840.81709589041,38462.71523287671,4,Iraq,33.315277777,44.366111111
Baku,2006,15.706164383561644,8.626950906950023,198.0,50,20.09,10,43938.919534246575,33360.05879452055,2,Azerbaijan,40.366655555,49.835183333
Bamako,2006,28.086575342465753,2.6975437643121496,670.3,94,0.0,0,43673.02183561644,38167.490958904105,1,Mali,12.645833333,-7.992222222
Bandar Seri Begawan,2006,27.084657534246574,0.6339720462858947,1893.7,280,0.0,0,43635.95975342466,35910.443041095896,3,Brunei,4.916666666,114.916666666
Bangui,2006,27.2441095890411,1.4741265206712246,1128.0,167,0.0,0,43633.93120547946,35644.693780821915,1,Central African Republic,4.37325,18.562833333
Basseterre,2006,26.06945205479452,1.1008698988055032,794.8,168,0.0,0,43701.03473972603,39314.54156164383,1,Saint Kitts and Nevis,17.298333333,-62.734166666
Beijing,2006,13.183835616438357,11.024468867889174,491.90000000000003,49,8.68,3,43931.02983561644,32746.813780821914,2,People's Republic of China,39.90403,116.407526
Beirut,2006,18.600684931506848,5.976296431325547,521.8,63,0.07,0,43848.359589041094,38560.399041095894,4,Lebanon,33.886944444,35.513055555
