capital,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country,lat,lon
Abuja,2005,27.237260273972602,2.525585157021644,1267.9,150,0.0,0,43654.6061369863,34273.72298630137,4,Nigeria,9.055555555,7.491388888
Accra,2005,26.80821917808219,1.657753463345978,694.1,120,0.0,0,43638.94104109589,36437.91221917808,0,Ghana,5.55602,-0.1969
Addis Ababa,2005,15.9,1.4471647156718956,2143.1,178,0.0,0,43654.6061369863,38031.05383561644,4,Ethiopia,9.027222222,38.736944444
Algiers,2005,17.49972602739726,6.45507296300358,487.2,73,3.0100000000000002,2,43885.600301369865,37523.300767123284,0,Algeria,36.776388888,3.058611111
Alofi,2005,25.46890410958904,1.3540177917369487,2130.0,182,0.0,0,43575.489424657535,35644.40073972603,4,Niue,-19.056,-169.921
Amman,2005,17.50178082191781,6.8645132492865955,162.5,35,0.42,0,43825.65709589041,39187.14942465753,2,Jordan,31.95,35.933333333
Amsterdam,2005,10.70068493150685,5.8617537901734655,717.4,125,23.240000000000002,5,44215.81558904109,28229.78106849315,1,Kingdom of the Netherlands,52.366666666,4.883333333
Andorra la Vella,2005,9.732191780821918,8.270625108683982,538.9,86,39.34,14,43975.19991780822,36298.805561643836,1,Andorra,42.507222222,1.522222222
Antananarivo,2005,18.197260273972603,2.9018903749117393,904.5,98,0.0,0,43575.68975342466,34206.8598630137,0,Madagascar,-18.91,47.525
Apia,2005,26.586575342465753,0.8332780151241459,2659.2,298,0.0,0,43582.31676712329,36405.143835616436,4,Samoa,-13.833333333,-171.833333333
Asmara,2005,17.21972602739726,1.6722015926589253,1120.2,131,0.0,0,43688.820493150684,38210.032520547946,0,Eritrea,15.333333333,38.916666666
Astana,2005,4.421917808219178,13.791792098162599,263.2,58,55.09,23,44177.69219178082,30048.560191780824,1,Kazakhstan,51.133333333,71.433333333
Asunción,2005,23.326164383561643,5.0321992412535765,1360.8,112,0.0,0,43572.51926027397,32676.284383561644,0,Paraguay,-25.28,-57.634444444
Athens,2005,17.218082191780823,7.304296616318369,391.5,59,11.06,3,43902.44189041096,36243.829917808216,0,Greece,37.984166666,23.728055555
Avarua,2005,24.397260273972602,1.5444799440122101,1735.0,145,0.0,0,43573.83276712329,34339.6904109589,4,Cook Islands,-21.207,-159.771
Baghdad,2005,25.2572602739726,9.861497342488995,102.7,12,0.0,0,43840.9464109589,38694.41879452055,2,Iraq,33.315277777,44.366111111
Baku,2005,16.101232876712327,8.050889300616685,191.0,52,6.02,1,43939.089342465755,34011.31304109589,2,Azerbaijan,40.366655555,49.835183333
Bamako,2005,28.597397260273972,2.7581597361669004,656.4,85,0.0,0,43673.06482191781,37780.90339726028,0,Mali,12.645833333,-7.992222222
Bandar Seri Begawan,2005,27.413561643835617,0.9778246908302566,1636.5,216,0.0,0,43635.9761369863,36712.19049315068,4,Brunei,4.916666666,114.916666666
Bangui,2005,27.54027397260274,1.8966518885317998,1158.7,163,0.0,0,43633.94605479452,35671.94547945206,4,Central African Republic,4.37325,18.562833333
Basseterre,2005,26.24164383561644,1.2218613229735404,999.2,176,0.0,0,43701.095863013696,38288.3593150685,4,Saint Kitts and Nevis,17.298333333,-62.734166666
Beijing,2005,12.91904109589041,11.824675629728977,436.8,51,7.84,1,43931.196767123285,34212.42578082192,1,People's Republic of China,39.90403,116.407526
Beirut,2005,18.806575342465752,5.6836482777345365,653.5,65,0.0,0,43848.492630136985,38390.48915068493,0,Lebanon,33.886944444,35.513055555
Belgrade,2005,11.184109589041096,9.169082191240054,703.9,114,90.09,22,44019.8057260274,29388.47956164383,1,Serbia,44.817777777,20.456944444
Belmopan,2005,26.074657534246576,2.5277134708342177,1201.1,191,0.0,0,43700.642712328765,34670.62605479452,4,Belize,17.25,-88.7675
Berlin,2005,9.553150684931508,7.709995809050957,553.3,110,48.79,17,44222.905479452056,27313.0978630137,1,Germany,52.516666666,13.383333333
Bishkek,2005,9.573972602739726,10.095997702784599,438.0,66,105.63,32,43981.60712328767,35630.76073972603,1,Kyrgyzstan,42.866666666,74.566666666
Bissau,2005,27.973835616438357,1.353894088794628,1234.8,127,0.0,0,43668.88616438356,36252.863178082196,4,Guinea-Bissau,11.859166666,-15.595555555
