capital,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country,lat,lon
Abuja,2017,27.10767123287671,2.1768755463651273,754.9,124,0.0,0,43654.534,35324.248,1,Nigeria,9.055555555,7.491388888
Accra,2017,26.874931506849315,1.404636282442946,821.6,164,0.0,0,43638.8933150685,35811.472273972606,1,Ghana,5.55602,-0.1969
Addis Ababa,2017,15.336849315068493,1.4336055719837542,1242.1,150,0.0,0,43654.534,37316.35068493151,1,Ethiopia,9.027222222,38.736944444
Algiers,2017,18.62835616438356,5.413677989896789,784.6,75,1.54,1,43885.282493150684,36626.9021369863,4,Algeria,36.776388888,3.058611111
Alofi,2017,25.53698630136986,1.3153371323694398,2082.7,202,0.0,0,43575.61301369863,33916.93660273973,3,Niue,-19.056,-169.921
Amman,2017,18.202876712328766,7.0408257038433515,232.8,36,2.87,1,43825.394383561645,38827.41578082192,4,Jordan,31.95,35.933333333
Amsterdam,2017,10.740136986301371,5.8457753349660555,850.8000000000001,163,37.24,9,44215.21254794521,26614.50216438356,2,Kingdom of the Netherlands,52.366666666,4.883333333
Andorra la Vella,2017,11.002876712328767,7.394412331940813,429.2,83,300.16,49,43974.803561643836,35686.85106849315,0,Andorra,42.507222222,1.522222222
Antananarivo,2017,18.75123287671233,2.7255995132462965,1222.7,123,0.0,0,43575.811616438354,34957.10416438356,1,Madagascar,-18.91,47.525
Apia,2017,25.244520547945207,0.583446187373046,3380.4,282,0.0,0,43582.40221917808,34845.18312328767,3,Samoa,-13.833333333,-171.833333333
Asmara,2017,17.00191780821918,2.0481354811803603,409.9,91,0.0,0,43688.702876712334,38404.13679452055,4,Eritrea,15.333333333,38.916666666
Astana,2017,4.595753424657534,13.485369658601996,196.3,48,71.12,27,44177.122547945204,29739.385616438358,2,Kazakhstan,51.133333333,71.433333333
Asunción,2017,23.83712328767123,4.57373488166131,1657.6,122,0.0,0,43572.69117808219,31918.15912328767,1,Paraguay,-25.28,-57.634444444
Athens,2017,18.00890410958904,7.631285656673242,455.9,63,3.92,1,43902.10890410959,36877.48408219178,4,Greece,37.984166666,23.728055555
Avarua,2017,24.68246575342466,1.7945948920115176,1783.1,182,0.0,0,43573.97243835616,33846.33435616438,1,Cook Islands,-21.207,-159.771
Baghdad,2017,25.465205479452052,10.682163693755577,107.5,22,0.0,0,43840.669534246575,37795.53884931507,4,Iraq,33.315277777,44.366111111
Baku,2017,15.478904109589042,8.621607879166069,214.9,46,11.41,5,43938.724465753425,32553.308712328766,2,Azerbaijan,40.366655555,49.835183333
Bamako,2017,28.6086301369863,2.9169362950001596,527.5,82,0.0,0,43672.967808219175,37240.87460273973,1,Mali,12.645833333,-7.992222222
Bandar Seri Begawan,2017,26.798219178082192,0.8773106734578441,4387.2,316,0.0,0,43635.93356164383,30289.06484931507,3,Brunei,4.916666666,114.916666666
Bangui,2017,27.411643835616438,1.4086740840223642,1176.0,171,0.0,0,43633.90660273973,35197.272027397266,1,Central African Republic,4.37325,18.562833333
Basseterre,2017,26.29232876712329,1.1314176177173354,1107.8,230,0.0,0,43700.96279452055,38838.6538630137,1,Saint Kitts and Nevis,17.298333333,-62.734166666
Beijing,2017,13.453561643835616,11.009948719059814,690.9,52,2.7300000000000004,1,43930.83849315069,32286.485671232876,2,People's Republic of China,39.90403,116.407526
Beirut,2017,20.826712328767123,4.975720461056709,581.2,75,0.0,0,43848.20860273973,38528.206082191784,4,Lebanon,33.886944444,35.513055555
Belgrade,2017,12.906575342465752,9.498409239165527,442.6,91,27.37,8,44019.371123287674,30991.416684931508,2,Serbia,44.817777777,20.456944444
