capital,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country,lat,lon
Abuja,2001,26.705479452054796,2.15131830340634,1180.8,138,0.0,0,43654.55430136986,33282.76783561644,0,Nigeria,9.055555555,7.491388888
Accra,2001,26.536712328767123,1.482436603164713,557.1,116,0.0,0,43638.907863013694,35997.78410958904,0,Ghana,5.55602,-0.1969
Addis Ababa,2001,15.467534246575342,1.0122909237694107,1806.5,170,0.0,0,43654.55430136986,37800.49038356164,0,Ethiopia,9.027222222,38.736944444
Algiers,2001,18.556164383561644,5.946576175805876,488.6,63,0.0,0,43885.363150684934,37778.29597260274,0,Algeria,36.776388888,3.058611111
Alofi,2001,25.09835616438356,1.2286517824301428,1799.1,167,0.0,0,43575.58915068494,36292.10298630137,4,Niue,-19.056,-169.921
Amman,2001,18.085068493150686,6.8096148741545495,111.0,27,0.0,0,43825.46101369863,39179.469287671236,2,Jordan,31.95,35.933333333
Amsterdam,2001,10.27917808219178,6.041383554837516,884.8,162,33.46,9,44215.37668493151,26766.810191780824,1,Kingdom of the Netherlands,52.366666666,4.883333333
Andorra la Vella,2001,9.868082191780822,7.835632133229066,560.7,87,67.62,16,43974.90520547945,36437.17591780822,1,Andorra,42.507222222,1.522222222
Antananarivo,2001,18.502465753424655,2.784929409418632,861.7,72,0.0,0,43575.78873972603,35938.93690410959,0,Madagascar,-18.91,47.525
Apia,2001,26.231643835616435,0.6370153052887036,2821.0,297,0.0,0,43582.38695890411,36260.62868493151,4,Samoa,-13.833333333,-171.833333333
Asmara,2001,17.006164383561643,1.7302763151444842,1147.9,124,0.0,0,43688.73369863014,37933.45887671233,0,Eritrea,15.333333333,38.916666666
Astana,2001,3.715890410958904,13.425054263055292,410.8,70,60.410000000000004,17,44177.276630136985,28495.75789041096,1,Kazakhstan,51.133333333,71.433333333
Asunción,2001,23.510821917808222,4.85890899023047,1684.7,124,0.0,0,43572.65684931507,32849.89394520548,0,Paraguay,-25.28,-57.634444444
Athens,2001,18.007397260273972,7.479892464738943,380.6,43,9.45,1,43902.1935890411,36112.25928767124,2,Greece,37.984166666,23.728055555
Avarua,2001,24.012328767123286,1.6885640890484492,1366.7,141,0.0,0,43573.94542465753,35221.47306849315,0,Cook Islands,-21.207,-159.771
Baghdad,2001,25.526438356164384,9.969610743591973,124.4,21,0.0,0,43840.73947945206,38270.671424657536,2,Iraq,33.315277777,44.366111111
Baku,2001,15.8086301369863,7.629101367707704,198.9,46,7.63,2,43938.817397260274,34128.29783561644,2,Azerbaijan,40.366655555,49.835183333
