capital,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country,lat,lon
Abuja,2024,27.335928961748635,2.349666274265171,727.4,108,0.0,0,43649.41232240437,33135.56270491803,0,Nigeria,9.055555555,7.491388888
Accra,2024,27.396584699453552,1.4856742677291845,916.2,189,0.0,0,43635.761775956285,35084.18199453552,4,Ghana,5.55602,-0.1969
Addis Ababa,2024,15.847540983606557,1.3995476636039557,1277.2,162,0.0,0,43649.41232240437,36768.138606557375,0,Ethiopia,9.027222222,38.736944444
Algiers,2024,19.8603825136612,5.076632080222083,463.0,68,0.0,0,43860.624344262294,36211.469945355195,2,Algeria,36.776388888,3.058611111
Alofi,2024,25.525,1.5489578909528858,1776.0,151,0.0,0,43586.97554644809,34389.930300546446,4,Niue,-19.056,-169.921
Amman,2024,18.844535519125685,6.920597422750149,263.2,48,2.52,1,43804.94912568306,38685.72830601093,2,Jordan,31.95,35.933333333
Amsterdam,2024,11.563387978142076,5.399656102420138,1079.7,181,26.53,6,44170.897295081966,25629.370819672135,1,Kingdom of the Netherlands,52.366666666,4.883333333
Andorra la Vella,2024,11.76393442622951,6.541298504250949,567.4,100,231.49,43,43944.338551912566,33516.58005464481,3,Andorra,42.507222222,1.522222222
Antananarivo,2024,19.146174863387976,2.783335756063729,1074.1,94,0.0,0,43587.03928961749,35148.578142076505,0,Madagascar,-18.91,47.525
Apia,2024,25.627185792349724,0.9041563105347308,2383.0,267,0.0,0,43590.474890710386,35147.125928961745,4,Samoa,-13.833333333,-171.833333333
Asmara,2024,17.26311475409836,2.316038214592533,692.4,118,0.0,0,43679.804071038256,37695.70475409836,0,Eritrea,15.333333333,38.916666666
Astana,2024,3.84603825136612,13.024145832741022,469.4,85,96.67,34,44134.87461748633,26757.667267759563,3,Kazakhstan,51.133333333,71.433333333
Asunción,2024,24.71926229508197,5.577892197964091,1365.5,109,0.0,0,43588.2306557377,33816.94079234973,0,Paraguay,-25.28,-57.634444444
Athens,2024,19.608606557377048,7.573210786360149,486.0,67,0.0,0,43876.32049180328,36311.906502732236,2,Greece,37.984166666,23.728055555
Avarua,2024,24.482513661202187,1.722683544851833,1550.4,137,0.0,0,43586.713797814205,34369.633060109285,0,Cook Islands,-21.207,-159.771
Baghdad,2024,25.93606557377049,9.937608644627264,217.7,22,0.0,0,43819.11789617487,36741.01338797814,2,Iraq,33.315277777,44.366111111
Baku,2024,15.945628415300547,8.490762588250817,393.4,70,10.989999999999998,4,43910.54196721311,30139.65994535519,1,Azerbaijan,40.366655555,49.835183333
