capital,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country,lat,lon
Commune of Monaco,2011,15.36123287671233,5.60933262401404,789.1,87,17.009999999999998,5,43998.58904109589,36039.165452054796,2,Monaco,43.730555555,7.425277777
Conakry,2011,26.618219178082192,0.9250131309815742,2332.1,173,0.0,0,43656.96115068493,33977.407342465754,1,Guinea,9.509166666,-13.712222222
Copenhagen,2011,9.026849315068494,6.4773022714894735,702.0,120,24.64,8,44341.85021917808,25945.45468493151,2,Denmark,55.676111111,12.568888888
Dakar,2011,25.157397260273974,2.411508024947884,259.90000000000003,28,0.0,0,43684.57126027397,38789.90216438356,4,Senegal,14.672555555,-17.432
Dhaka,2011,25.395890410958906,3.6715264797157543,1894.7,164,0.0,0,43747.31682191781,32643.72687671233,1,Bangladesh,23.728888888,90.394444444
Djibouti City,2011,28.953561643835613,3.887674369738053,196.7,44,0.0,0,43667.34219178082,39005.358383561645,4,Djibouti,11.595,43.148055555
Doha,2011,27.235342465753423,7.0261470226606635,46.5,10,0.0,0,43760.210301369865,39401.0597260274,4,Qatar,25.286205555,51.529436111
Dublin,2011,10.516301369863013,3.9359433105789936,678.4,132,0.8400000000000001,0,44249.5421369863,26109.31216438356,2,Ireland,53.349722222,-6.260277777
Freetown,2011,26.31,0.9025695918497831,2550.1,219,0.0,0,43651.87630136986,33693.32569863014,3,Sierra Leone,8.487222222,-13.235555555
Gaborone,2011,20.01164383561644,5.128183282011021,578.6,82,0.0,0,43572.65032876712,37443.56709589041,4,Botswana,-24.656944444,25.908611111
Georgetown,2011,26.321643835616438,0.8832367635525306,2273.3,288,0.0,0,43644.126000000004,36012.632630136985,3,Guyana,6.805833333,-58.150833333
Gibraltar,2011,17.812191780821916,4.842587585533035,725.0,64,0.0,0,43876.8644109589,37803.35756164383,4,Gibraltar,36.14,-5.35
Gitega,2011,18.743972602739728,1.0017590843030009,982.9,161,0.0,0,43606.42687671233,36311.823479452054,1,Burundi,-3.428333333,29.925
