capital,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country,lat,lon
Abuja,2009,26.94109589041096,2.06145523764736,1453.2,161,0.0,0,43654.568630136986,33604.79243835616,1,Nigeria,9.055555555,7.491388888
Accra,2009,26.852191780821915,1.5113292368045412,644.5,98,0.0,0,43638.916739726024,35972.70668493151,1,Ghana,5.55602,-0.1969
Addis Ababa,2009,16.294383561643834,1.7091632377732153,1489.4,138,0.0,0,43654.568630136986,38373.816739726026,1,Ethiopia,9.027222222,38.736944444
Algiers,2009,18.323424657534247,6.151809395933513,588.0,98,0.0,0,43885.43046575342,38005.28567123287,4,Algeria,36.776388888,3.058611111
Alofi,2009,24.80260273972603,1.5652563840453362,1854.1,150,0.0,0,43575.56104109589,34821.86284931507,1,Niue,-19.056,-169.921
Amman,2009,17.856849315068494,6.751027165784908,121.5,21,0.0,0,43825.51594520548,39092.84791780822,4,Jordan,31.95,35.933333333
Amsterdam,2009,10.443698630136986,6.129261358356042,686.9,130,22.89,7,44215.50643835616,27559.337999999996,2,Kingdom of the Netherlands,52.366666666,4.883333333
Andorra la Vella,2009,10.774246575342465,7.7245555222262885,593.9,86,87.28999999999999,20,43974.98967123288,36111.67723287671,2,Andorra,42.507222222,1.522222222
Antananarivo,2009,18.46260273972603,2.6337736826711087,1120.6,107,0.0,0,43575.760684931505,33992.52526027397,1,Madagascar,-18.91,47.525
Apia,2009,26.29904109589041,0.7099608493763196,2372.9,268,0.0,0,43582.367260273975,36904.942136986305,3,Samoa,-13.833333333,-171.833333333
Asmara,2009,17.806301369863014,1.8953315309526753,1017.8,95,0.0,0,43688.758,38835.70824657534,1,Eritrea,15.333333333,38.916666666
Astana,2009,3.6206849315068492,13.336249074036703,276.1,57,64.75,20,44177.398164383565,30033.75684931507,2,Kazakhstan,51.133333333,71.433333333
Asunción,2009,23.518082191780824,5.674897892660895,1438.4,122,0.0,0,43572.617890410955,33675.368465753425,1,Paraguay,-25.28,-57.634444444
Athens,2009,17.853150684931506,6.823401047798651,370.6,68,0.0,0,43902.26389041096,36345.43194520548,4,Greece,37.984166666,23.728055555
Avarua,2009,24.118356164383563,1.9303191201885592,1904.3,147,0.0,0,43573.913452054796,34035.15249315069,1,Cook Islands,-21.207,-159.771
Baghdad,2009,25.266575342465753,9.396369742533624,59.0,17,0.0,0,43840.79783561644,38511.24534246576,4,Iraq,33.315277777,44.366111111
Baku,2009,15.414657534246576,7.420442339343114,281.0,53,5.6,1,43938.89528767123,33506.02898630137,4,Azerbaijan,40.366655555,49.835183333
Bamako,2009,28.083013698630136,3.005164823756542,802.7,90,0.0,0,43673.013342465754,37833.84726027397,1,Mali,12.645833333,-7.992222222
Bandar Seri Begawan,2009,27.093698630136988,1.0394822607746401,2126.0,271,0.0,0,43635.95490410959,34125.720575342464,3,Brunei,4.916666666,114.916666666
Bangui,2009,27.352191780821915,1.3305303893430005,1173.7,174,0.0,0,43633.926383561644,35856.46454794521,1,Central African Republic,4.37325,18.562833333
Basseterre,2009,25.898904109589044,1.2111314772003376,735.2,139,0.0,0,43701.02501369863,39480.67457534247,1,Saint Kitts and Nevis,17.298333333,-62.734166666
Beijing,2009,12.956575342465753,11.614144963771551,425.4,49,10.85,4,43931.00589041096,33624.50821917808,2,People's Republic of China,39.90403,116.407526
Beirut,2009,19.272876712328767,5.871236573294727,731.3,71,0.0,0,43848.340136986306,38313.9064109589,4,Lebanon,33.886944444,35.513055555
Belgrade,2009,12.945342465753425,9.004756386956782,675.5,106,66.01,14,44019.57663013699,30287.99210958904,2,Serbia,44.817777777,20.456944444
Belmopan,2009,26.08917808219178,2.602803725731756,881.5,178,0.0,0,43700.57210958904,36284.55095890411,1,Belize,17.25,-88.7675
Berlin,2009,9.694794520547944,7.948653923914897,598.2,117,47.88,14,44222.59405479452,26651.431589041094,2,Germany,52.516666666,13.383333333
Bishkek,2009,9.409041095890412,8.971851611051312,608.8,95,83.51,25,43981.39435616438,35320.16460273973,2,Kyrgyzstan,42.866666666,74.566666666
Bissau,2009,27.435205479452055,1.4803057948017841,1387.3,121,0.0,0,43668.837342465755,35897.96764383562,1,Guinea-Bissau,11.859166666,-15.595555555
Bogotá,2009,15.144931506849314,1.0508410071075824,2018.9,214,0.0,0,43634.79123287671,33315.96095890411,3,Colombia,4.60971,-74.08175
Brasília,2009,21.924246575342465,1.476950115044606,1629.9,182,0.0,0,43579.390082191785,35575.23430136986,1,Brazil,-15.793888888,-47.882777777
Bratislava,2009,11.083424657534247,8.423491683417227,642.8,108,52.36,18,44094.1298630137,29518.121260273972,2,Slovakia,48.144722222,17.112777777
Brazzaville,2009,25.583013698630136,0.973148686068294,1095.3,166,0.0,0,43603.955315068495,32912.02967123288,1,Republic of the Congo,-4.269444444,15.271111111
Bridgetown,2009,26.672328767123286,0.8918364811991332,835.6,143,0.0,0,43675.73038356164,39372.368356164385,1,Barbados,13.0975,-59.616666666
Bucharest,2009,12.701643835616439,8.957522471578981,530.2,80,45.92,12,44011.04561643836,31576.51202739726,2,Romania,44.413361111,26.097777777
Budapest,2009,11.86917808219178,8.832396311155907,565.7,103,39.55,11,44078.6853150685,29721.908109589043,2,Hungary,47.498333333,19.040833333
Buenos Aires,2009,17.413561643835617,5.640065994534158,1164.9,84,0.0,0,43580.89545205479,34336.397150684934,1,Argentina,-34.599722222,-58.381944444
Cairo,2009,22.15287671232877,5.784010614591183,5.2,1,0.0,0,43805.1877260274,39456.499726027396,4,Egypt,30.044444444,31.235833333
Canberra,2009,13.903835616438355,6.220354886817855,474.9,77,0.0,0,43582.29495890411,35397.08273972602,4,Australia,-35.293055555,149.126944444
Castries,2009,27.015616438356165,1.0379621124982323,632.8,159,0.0,0,43680.900356164384,39757.74326027397,1,Saint Lucia,14.016666666,-60.983333333
Cetinje,2009,11.115890410958905,7.50261453248946,2605.6,158,131.32,22,43972.46087671233,30551.07684931507,2,Montenegro,42.389444444,18.924722222
Chișinău,2009,11.4086301369863,9.35152192982695,320.9,66,56.63,11,44067.08282191781,29363.074328767125,2,Moldova,47.022777777,28.835277777
City of Brussels,2009,10.82068493150685,6.525754414887686,682.7,122,20.58,6,44168.905123287666,26943.150547945203,2,Belgium,50.846666666,4.351666666
Commune of Monaco,2009,15.139726027397261,6.41124719411703,863.1,102,33.32,10,43998.61567123288,35415.26060273973,2,Monaco,43.730555555,7.425277777
Conakry,2009,26.380958904109587,0.8340539886594823,2319.6,161,0.0,0,43656.96515068493,34870.55430136986,1,Guinea,9.509166666,-13.712222222
Copenhagen,2009,8.796986301369863,6.7543030006461136,591.3,115,40.39,12,44341.93219178082,27044.403315068495,2,Denmark,55.676111111,12.568888888
Dakar,2009,24.79739726027397,3.1153598681748345,296.9,51,0.0,0,43684.57698630137,38468.29980821918,4,Senegal,14.672555555,-17.432
Dhaka,2009,26.161369863013697,3.53051661501111,1812.4,149,0.0,0,43747.325397260276,33223.8284109589,1,Bangladesh,23.728888888,90.394444444
Djibouti City,2009,29.122739726027394,3.7734727862917623,129.0,40,0.0,0,43667.34712328767,38685.32024657534,4,Djibouti,11.595,43.148055555
Doha,2009,27.283013698630135,6.8017419966779284,55.4,11,0.0,0,43760.219397260276,39495.827589041095,4,Qatar,25.286205555,51.529436111
Dublin,2009,10.104794520547944,4.376843131250455,915.9,162,7.84,4,44249.604301369865,26554.794273972602,2,Ireland,53.349722222,-6.260277777
Freetown,2009,25.95986301369863,0.8851406002902046,2614.6,192,0.0,0,43651.8801369863,35085.123561643835,3,Sierra Leone,8.487222222,-13.235555555
Gaborone,2009,19.974931506849316,5.153055245257943,621.8000000000001,83,0.0,0,43572.64731506849,36712.33375342466,1,Botswana,-24.656944444,25.908611111
Georgetown,2009,26.36849315068493,0.9464329667387282,1791.4,268,0.0,0,43644.12989041096,37547.52805479452,3,Guyana,6.805833333,-58.150833333
Gibraltar,2009,17.83958904109589,5.08898034821269,772.3,60,0.0,0,43876.88104109589,37845.55879452055,4,Gibraltar,36.14,-5.35
Gitega,2009,19.243150684931507,1.3247100830577072,642.4,134,0.0,0,43606.42857534246,36796.515671232875,1,Burundi,-3.428333333,29.925
Guatemala City,2009,19.396849315068494,1.2542716864760273,1677.2,170,0.0,0,43684.57698630137,37662.29906849315,1,Guatemala,14.641666666,-90.513333333
Havana,2009,26.384931506849316,3.0181375357753755,550.0,104,0.0,0,43742.815315068496,38943.98597260274,1,Cuba,23.136666666,-82.358888888
Helsinki,2009,5.565890410958904,8.40974918868147,453.0,84,104.16,30,44596.74057534247,25994.189452054794,0,Finland,60.170833333,24.9375
Honiara,2009,26.7327397260274,0.5951527190515323,2921.1,312,0.0,0,43590.750410958906,33138.35956164384,3,Solomon Islands,-9.433333,159.95
Islamabad,2009,20.953698630136987,7.344950890934901,650.4,84,0.0,0,43845.803753424654,36940.569698630134,4,Pakistan,33.698888888,73.036944444
Jakarta,2009,26.88054794520548,0.9586748099532506,1697.1,216,0.0,0,43598.731671232876,35728.47282191781,3,Indonesia,-6.175277777,106.826944444
Jerusalem,2009,17.91821917808219,6.6314210729175125,146.2,30,0.0,0,43823.956328767126,39019.63871232877,4,Israel,31.778888888,35.225555555
