capital,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country,lat,lon
Abuja,2018,26.543835616438358,1.987857114324298,1172.3,156,0.0,0,43654.53443835617,33623.29969863014,3,Nigeria,9.055555555,7.491388888
Accra,2018,26.894520547945206,1.247358793232577,640.7,153,0.0,0,43638.894,35928.447753424654,1,Ghana,5.55602,-0.1969
Addis Ababa,2018,15.02013698630137,1.0149899760652177,1490.6,172,0.0,0,43654.53443835617,36708.883835616434,3,Ethiopia,9.027222222,38.736944444
Algiers,2018,18.10931506849315,5.025887196505469,903.1,103,1.61,0,43885.27956164383,34343.28709589041,1,Algeria,36.776388888,3.058611111
Alofi,2018,25.408767123287674,1.1947250651650965,1922.2,177,0.0,0,43575.61553424657,34057.52747945205,3,Niue,-19.056,-169.921
Amman,2018,18.458904109589042,6.202652206928939,598.0,74,0.56,0,43825.39263013699,37458.29183561644,1,Jordan,31.95,35.933333333
Amsterdam,2018,11.154109589041095,6.666662763747666,704.6999999999999,124,13.65,5,44215.1982739726,28856.615753424656,2,Kingdom of the Netherlands,52.366666666,4.883333333
Andorra la Vella,2018,10.555479452054794,7.1825498321224845,727.2,117,398.93,63,43974.798575342465,33761.29802739726,0,Andorra,42.507222222,1.522222222
Antananarivo,2018,18.465479452054794,2.520452079355876,1153.1,115,0.0,0,43575.81473972603,36020.36095890411,1,Madagascar,-18.91,47.525
Apia,2018,25.19301369863014,0.630257414992076,3047.4,273,0.0,0,43582.404246575345,36004.71035616438,3,Samoa,-13.833333333,-171.833333333
Asmara,2018,16.54986301369863,1.9171991168657168,533.4,121,0.0,0,43688.70279452055,38088.18602739726,1,Eritrea,15.333333333,38.916666666
Astana,2018,1.8783561643835618,14.195841657587756,337.2,68,99.05,30,44177.11024657534,27217.498602739728,0,Kazakhstan,51.133333333,71.433333333
Asunción,2018,23.294109589041096,5.193870498692473,1477.8,129,0.0,0,43572.6942739726,32084.131452054797,1,Paraguay,-25.28,-57.634444444
Athens,2018,18.425753424657533,6.85228022483705,603.9,80,0.0,0,43902.10523287671,35486.07210958904,1,Greece,37.984166666,23.728055555
Avarua,2018,24.47958904109589,1.4901973082320354,1680.8,168,0.0,0,43573.975369863016,33538.81339726027,3,Cook Islands,-21.207,-159.771
Baghdad,2018,25.403424657534245,9.379517698180928,304.1,39,0.0,0,43840.66715068493,35301.43052054795,4,Iraq,33.315277777,44.366111111
Baku,2018,15.912465753424659,8.510923940497847,257.6,60,2.38,1,43938.71997260274,30354.331232876713,2,Azerbaijan,40.366655555,49.835183333
Bamako,2018,28.436986301369863,2.8670761252630856,505.4,74,0.0,0,43672.96824657534,35712.18975342466,1,Mali,12.645833333,-7.992222222
Bandar Seri Begawan,2018,26.803972602739726,0.8573161862483227,3655.1,312,0.0,0,43635.93375342466,31756.79169863014,3,Brunei,4.916666666,114.916666666
Bangui,2018,27.278630136986305,1.359306864283068,1060.8,160,0.0,0,43633.90736986301,33668.60090410959,3,Central African Republic,4.37325,18.562833333
Basseterre,2018,26.12164383561644,1.0885127136342856,865.4,215,0.0,0,43700.96287671233,39073.37016438356,3,Saint Kitts and Nevis,17.298333333,-62.734166666
Beijing,2018,13.031643835616439,11.958246615852406,551.2,41,8.19,2,43930.834465753425,31101.895068493148,2,People's Republic of China,39.90403,116.407526
Beirut,2018,21.491780821917807,4.426388260054929,799.5,93,0.0,0,43848.20589041096,36890.16975342466,1,Lebanon,33.886944444,35.513055555
Belgrade,2018,13.553835616438356,8.907597946792109,777.6,122,84.28,19,44019.36465753424,29537.279698630136,2,Serbia,44.817777777,20.456944444
Belmopan,2018,25.018356164383565,1.9317773613688811,1843.3,251,0.0,0,43700.51010958904,33714.64002739726,3,Belize,17.25,-88.7675
Berlin,2018,11.17904109589041,8.619889338607832,381.5,80,21.77,8,44222.28230136986,28887.32698630137,2,Germany,52.516666666,13.383333333
Bishkek,2018,11.103013698630138,11.051318439187131,451.6,65,122.64,29,43981.20013698631,31692.458657534247,2,Kyrgyzstan,42.866666666,74.566666666
Bissau,2018,26.871369863013697,1.1833939307107812,1552.0,119,0.0,0,43668.794273972606,34864.20860273973,3,Guinea-Bissau,11.859166666,-15.595555555
Bogotá,2018,12.454109589041096,0.9097289108596858,1425.6,267,0.0,0,43634.77134246575,34900.16906849315,3,Colombia,4.60971,-74.08175
