capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country
Abuja,Autumn,2018,25.86208791208791,1.3637028973297651,269.1,42,0.0,0,42967.86450549451,34146.81692307692,0,Nigeria
Accra,Autumn,2018,26.75,1.0476428568723022,181.0,46,0.0,0,43213.418461538466,36510.06934065934,0,Ghana
Addis Ababa,Autumn,2018,14.542307692307691,0.8237759632368723,188.5,28,0.0,0,42967.86450549451,38003.104505494506,4,Ethiopia
Algiers,Autumn,2018,20.147252747252747,3.756249330836419,259.4,30,0.0,0,40646.242967032966,30464.07747252747,2,Algeria
Alofi,Autumn,2018,24.843956043956045,0.8528655998337173,440.1,36,0.0,0,45045.1678021978,34524.230439560444,0,Niue
Amman,Autumn,2018,20.048901098901098,4.606854663445534,91.6,14,0.0,0,41133.492197802196,35699.76978021978,2,Jordan
Amsterdam,Autumn,2018,11.514285714285714,4.816535671311471,135.1,21,0.0,0,38470.85791208791,24653.054835164832,3,Kingdom of the Netherlands
Andorra la Vella,Autumn,2018,11.895054945054946,5.877201974792347,216.6,31,69.02,11,39986.384835164834,30106.037802197803,1,Andorra
Antananarivo,Autumn,2018,18.923076923076923,1.9390763507446243,118.7,24,0.0,0,45027.74131868132,39490.83263736264,4,Madagascar
Apia,Autumn,2018,25.257692307692306,0.6021223148591017,511.4,63,0.0,0,44623.69681318681,38382.14494505495,0,Samoa
Asmara,Autumn,2018,16.24615384615385,1.022041279043257,98.2,19,0.0,0,42506.52032967033,38070.027252747255,4,Eritrea
Astana,Autumn,2018,3.171978021978022,8.595661724870311,42.8,11,50.54,16,38691.52923076923,20925.493296703295,1,Kazakhstan
Asunción,Autumn,2018,24.162087912087912,3.4067281522447175,698.8,40,0.0,0,45583.32582417582,30660.99010989011,0,Paraguay
Athens,Autumn,2018,18.97747252747253,4.579254328771253,195.8,15,0.0,0,40516.725824175825,31466.746373626374,2,Greece
Avarua,Autumn,2018,23.45,1.052589399739729,139.1,30,0.0,0,45222.48923076923,34689.811428571425,4,Cook Islands
Baghdad,Autumn,2018,26.897802197802196,7.8596081047619295,71.4,8,0.0,0,41004.853736263736,32982.03186813187,2,Iraq
Baku,Autumn,2018,17.119230769230768,5.367007076319628,60.7,18,0.14,0,40244.11769230769,27787.90076923077,2,Azerbaijan
Bamako,Autumn,2018,27.82967032967033,1.2977968087403167,117.89999999999999,20,0.0,0,42708.656593406595,35660.039780219784,4,Mali
Bandar Seri Begawan,Autumn,2018,26.82747252747253,0.5378074694878038,884.4,84,0.0,0,43263.29043956044,32636.539120879122,0,Brunei
Bangui,Autumn,2018,26.693956043956046,0.9602324708352671,285.8,50,0.0,0,43298.173296703295,32850.00945054945,0,Central African Republic
Basseterre,Autumn,2018,26.7978021978022,0.6955777809335549,315.9,60,0.0,0,42358.60813186813,36733.2167032967,0,Saint Kitts and Nevis
Beijing,Autumn,2018,12.593406593406593,6.81434030715621,34.8,4,0.0,0,40301.831648351654,30332.81945054945,2,People's Republic of China
Beirut,Autumn,2018,23.677472527472528,3.1158222005351965,162.3,17,0.0,0,40942.54483516484,35230.859780219784,2,Lebanon
Belgrade,Autumn,2018,14.678571428571429,6.322381508301119,101.8,18,7.28,2,39680.89956043956,29093.270109890113,3,Serbia
Belmopan,Autumn,2018,25.3489010989011,1.167689504533962,678.4,77,0.0,0,42363.93725274725,31953.25912087912,0,Belize
Berlin,Autumn,2018,11.37142857142857,6.048503684829564,75.5,18,0.35,0,38430.520659340655,24269.30901098901,3,Germany
Bishkek,Autumn,2018,10.182417582417584,8.27767873268015,65.5,14,59.29,12,39941.67043956044,27891.125384615385,1,Kyrgyzstan
Bissau,Autumn,2018,27.455494505494503,1.1066327943975547,588.3,50,0.0,0,42764.988901098906,32572.31604395604,0,Guinea-Bissau
Bogotá,Autumn,2018,12.928571428571429,0.7088779418968654,219.20000000000002,53,0.0,0,43283.22593406594,36659.997142857144,0,Colombia
Brasília,Autumn,2018,23.197802197802197,1.742490428602953,376.3,43,0.0,0,44777.817252747256,33565.08571428571,0,Brazil
Bratislava,Autumn,2018,12.882967032967032,5.774321604118529,161.7,22,1.47,1,39197.29274725275,25775.68714285714,3,Slovakia
Brazzaville,Autumn,2018,26.4521978021978,0.7761698012932232,602.7,58,0.0,0,43913.298901098904,31787.78076923077,0,Republic of the Congo
Bridgetown,Autumn,2018,27.29230769230769,0.7333682975347768,329.5,56,0.0,0,42672.66505494506,36291.2910989011,0,Barbados
Bucharest,Autumn,2018,13.240659340659342,7.040367383437663,63.8,13,23.8,4,39738.333516483515,28025.842527472527,3,Romania
Budapest,Autumn,2018,13.252747252747254,5.828094612580241,132.6,19,0.63,0,39294.92615384615,27173.052527472526,2,Hungary
Buenos Aires,Autumn,2018,17.604945054945055,3.4048825640138114,317.90000000000003,30,0.0,0,46535.42846153846,34458.90934065934,4,Argentina
Cairo,Autumn,2018,24.58076923076923,3.7778945431929682,2.7,1,0.0,0,41310.07461538462,36635.50758241758,4,Egypt
Canberra,Autumn,2018,13.990659340659342,4.076735568291485,141.7,21,0.0,0,46616.34747252747,35903.790219780225,4,Australia
Castries,Autumn,2018,27.0967032967033,0.7883809780458707,504.1,62,0.0,0,42605.50351648351,36755.93395604396,0,Saint Lucia
Cetinje,Autumn,2018,14.777472527472527,4.465318600902985,735.1,33,3.0799999999999996,1,40004.12285714286,31153.056373626372,2,Montenegro
