capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country,lat,lon
Santiago,Spring,2002,16.89021739130435,4.41143144849256,218.0,14,0.0,0,40724.98717391304,33250.47510869565,3,Chile,-33.4375,-70.65
Santo Domingo,Spring,2002,25.094021739130437,0.8174216496817108,151.8,41,0.0,0,45128.245652173915,40144.35315217391,3,Dominican Republic,18.4625,-69.936111111
Sarajevo,Spring,2002,10.438586956521739,4.472922829728581,282.6,43,36.68,7,48145.42782608696,32143.841304347825,0,Bosnia and Herzegovina,43.856388888,18.413055555
Singapore,Spring,2002,27.259239130434782,0.5388188826888792,452.8,71,0.0,0,43711.869782608694,37987.61652173913,4,Singapore,1.3,103.8
Skopje,Spring,2002,13.083695652173914,4.734959465203872,155.7,25,0.49000000000000005,0,47847.85673913044,34263.99576086956,2,North Macedonia,41.996111111,21.431666666
Sofia,Spring,2002,10.5125,4.7319850689016,200.2,38,16.59,7,47959.921413043485,32802.58510869565,0,Bulgaria,42.697886,23.321726
South Tarawa,Spring,2002,27.145652173913046,0.5325994811843691,761.7,76,0.0,0,43711.869782608694,36302.41271739131,4,Kiribati,1.333333333,172.966666666
St. George's,Spring,2002,26.516304347826086,0.6230511900922718,145.3,40,0.0,0,44575.50076086957,41107.29554347826,3,Grenada,12.0525,-61.753055555
St. John's,Spring,2002,25.844565217391303,0.730664928307217,122.5,31,0.0,0,45009.28097826087,41656.69152173913,3,Antigua and Barbuda,17.121111111,-61.844722222
Suva,Spring,2002,25.918478260869566,1.023990185803124,642.3,77,0.0,0,42169.066086956525,33528.276304347826,4,Fiji,-18.133333333,178.433333333
Tallinn,Spring,2002,6.023913043478261,5.778377078616896,45.4,12,19.32,6,52099.34206521739,40625.3602173913,0,Estonia,59.437222222,24.745
Tbilisi,Spring,2002,10.777717391304348,3.6232412492164925,203.2,38,0.56,0,47803.824347826085,30437.93163043478,2,Georgia,41.7225,44.7925
Tegucigalpa,Spring,2002,24.390760869565216,1.5539197043871824,396.4,19,0.0,0,44747.29706521739,38769.79423913043,3,Honduras,14.105783333,-87.204705555
Tehran,Spring,2002,13.820108695652175,5.579874844900977,139.1,20,0.0,0,46950.30641304348,39049.38054347826,2,Iran,35.688888888,51.389722222
Thimphu,Spring,2002,9.88967391304348,3.3912422603410364,1034.4,89,0.07,0,45998.63076086957,32668.187391304346,4,Bhutan,27.47135,89.63367
