capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country,lat,lon
Abuja,Summer,2019,24.304891304347827,1.0989020440153623,646.4,82,0.0,0,45165.914239130434,25804.597826086956,0,Nigeria,9.055555555,7.491388888
Accra,Summer,2019,25.454891304347825,0.5998653595548603,221.7,43,0.0,0,44571.70489130435,36673.06108695652,0,Ghana,5.55602,-0.1969
Addis Ababa,Summer,2019,14.955434782608696,0.5984621556488833,830.3,87,0.0,0,45165.914239130434,32810.37597826087,0,Ethiopia,9.027222222,38.736944444
Algiers,Summer,2019,24.39673913043478,2.7095152271880822,24.7,8,0.0,0,51071.06478260869,43430.06554347826,1,Algeria,36.776388888,3.058611111
Alofi,Summer,2019,24.64673913043478,0.7265303797761646,260.2,38,0.0,0,40305.725,31787.975326086955,0,Niue,-19.056,-169.921
Amman,Summer,2019,25.328260869565216,1.756593612083461,0.0,0,0.0,0,49789.43869565218,45850.27065217392,1,Jordan,31.95,35.933333333
Amsterdam,Summer,2019,17.868478260869566,3.112406204873908,246.5,33,0.0,0,57072.63858695652,42604.73706521739,4,Kingdom of the Netherlands,52.366666666,4.883333333
Andorra la Vella,Summer,2019,19.45,3.8267206860171035,248.70000000000002,26,0.98,0,52841.724130434784,45003.64728260869,4,Andorra,42.507222222,1.522222222
Antananarivo,Summer,2019,15.38695652173913,1.5028337621873507,54.199999999999996,12,0.0,0,40345.12076086956,34126.40913043478,3,Madagascar,-18.91,47.525
Apia,Summer,2019,25.377717391304348,0.5257837755154869,440.3,59,0.0,0,41264.068478260866,35825.890978260875,0,Samoa,-13.833333333,-171.833333333
Asmara,Summer,2019,18.025,1.2326933791632757,267.3,43,0.0,0,46298.100543478264,37390.21608695652,0,Eritrea,15.333333333,38.916666666
Astana,Summer,2019,19.293478260869566,3.9904915654074706,97.1,22,0.0,0,56440.760869565216,43386.844239130434,4,Kazakhstan,51.133333333,71.433333333
Asunción,Summer,2019,19.217391304347824,4.679070977003409,114.8,15,0.0,0,39097.807934782606,30197.359565217394,3,Paraguay,-25.28,-57.634444444
Athens,Summer,2019,27.095652173913045,2.334378193013552,25.6,7,0.0,0,51415.42184782608,46296.575000000004,1,Greece,37.984166666,23.728055555
Avarua,Summer,2019,23.496195652173913,0.9711280881003146,176.3,36,0.0,0,39905.918913043475,31953.86543478261,0,Cook Islands,-21.207,-159.771
Baghdad,Summer,2019,37.33586956521739,1.6430560859207255,0.0,0,0.0,0,50125.67043478261,44202.138913043476,1,Iraq,33.315277777,44.366111111
Baku,Summer,2019,26.395652173913046,2.0376356177331028,20.6,4,0.0,0,52145.29586956521,43330.14902173913,1,Azerbaijan,40.366655555,49.835183333
Bamako,Summer,2019,28.25326086956522,2.640437904364277,401.6,47,0.0,0,45799.484239130434,33958.46793478261,0,Mali,12.645833333,-7.992222222
Bandar Seri Begawan,Summer,2019,27.320652173913043,0.7475657262409556,621.0,62,0.0,0,44451.72402173913,33386.52097826087,0,Brunei,4.916666666,114.916666666
Bangui,Summer,2019,26.402173913043477,1.0572334060728428,489.9,66,0.0,0,44367.94445652174,33029.102173913045,0,Central African Republic,4.37325,18.562833333
Basseterre,Summer,2019,27.369565217391305,0.5548961154996976,245.3,59,0.0,0,46665.487282608694,41432.95445652174,0,Saint Kitts and Nevis,17.298333333,-62.734166666
Beijing,Summer,2019,26.3875,2.4883202441331047,338.1,31,0.0,0,51990.19684782609,33063.52413043479,4,People's Republic of China,39.90403,116.407526
Beirut,Summer,2019,26.265760869565216,1.4112368775672763,19.6,9,0.0,0,50289.07989130435,45852.785543478254,1,Lebanon,33.886944444,35.513055555
Belgrade,Summer,2019,23.504891304347826,2.9023111270443267,218.3,37,0.0,0,53675.374673913044,43299.761413043474,4,Serbia,44.817777777,20.456944444
Belmopan,Summer,2019,28.22554347826087,1.105791312436615,311.6,63,0.0,0,46652.21597826087,39508.094456521736,0,Belize,17.25,-88.7675
Berlin,Summer,2019,21.2625,3.3106938368442766,99.6,22,0.0,0,57188.79902173913,43503.185,4,Germany,52.516666666,13.383333333
Bishkek,Summer,2019,24.980978260869566,4.0125205308523,62.4,12,0.0,0,52963.18608695652,44838.85880434783,4,Kyrgyzstan,42.866666666,74.566666666
Bissau,Summer,2019,27.066847826086956,0.9699404415246916,793.5,54,0.0,0,45661.23826086956,30699.277826086956,0,Guinea-Bissau,11.859166666,-15.595555555
Bogotá,Summer,2019,11.783152173913043,0.7696965712236623,527.1,79,0.0,0,44403.8302173913,36010.101739130434,0,Colombia,4.60971,-74.08175
Brasília,Summer,2019,20.577173913043477,1.7753874835299004,1.4,0,0.0,0,40912.24304347826,36878.78902173913,3,Brazil,-15.793888888,-47.882777777
Bratislava,Summer,2019,22.545108695652175,2.511392282548991,161.0,26,0.0,0,55014.03586956522,44533.26989130435,4,Slovakia,48.144722222,17.112777777
Brazzaville,Summer,2019,25.348369565217393,0.7884973568128881,23.1,7,0.0,0,42908.96684782609,32469.98836956522,3,Republic of the Congo,-4.269444444,15.271111111
Bridgetown,Summer,2019,27.900543478260868,0.6070327111240239,198.9,52,0.0,0,45887.97326086956,39867.54097826087,0,Barbados,13.0975,-59.616666666
Bucharest,Summer,2019,23.537499999999998,2.528373331471581,166.2,28,0.0,0,53517.952826086956,44852.62804347826,4,Romania,44.413361111,26.097777777
Budapest,Summer,2019,22.92554347826087,2.521593497635896,176.4,28,0.0,0,54741.845108695656,44425.74739130435,4,Hungary,47.498333333,19.040833333
Buenos Aires,Summer,2019,11.745652173913042,3.386671127853572,329.3,23,0.0,0,36993.78184782609,25424.69989130435,3,Argentina,-34.599722222,-58.381944444
Cairo,Summer,2019,30.367391304347827,1.402204598233858,0.7,0,0.0,0,49330.400434782605,44503.95858695652,1,Egypt,30.044444444,31.235833333
Canberra,Summer,2019,7.052173913043478,2.0067046005920424,76.3,16,0.35000000000000003,0,36816.43913043478,28807.377717391304,3,Australia,-35.293055555,149.126944444
Castries,Summer,2019,27.435326086956525,0.5292301086327389,375.9,75,0.0,0,46053.43630434782,39718.62173913044,0,Saint Lucia,14.016666666,-60.983333333
Cetinje,Summer,2019,22.48641304347826,3.10342865391455,185.9,18,0.0,0,52793.59163043478,46106.163043478264,4,Montenegro,42.389444444,18.924722222
Chișinău,Summer,2019,23.02880434782609,2.5811790654452818,105.7,17,0.0,0,54535.67293478261,46037.52347826087,4,Moldova,47.022777777,28.835277777
City of Brussels,Summer,2019,18.91521739130435,3.342226828328968,162.5,29,0.0,0,56298.20641304348,41970.147826086955,4,Belgium,50.846666666,4.351666666
Commune of Monaco,Summer,2019,24.389673913043477,2.672772134228767,60.9,8,0.0,0,53286.863152173915,47027.43663043478,4,Monaco,43.730555555,7.425277777
Conakry,Summer,2019,25.991304347826084,0.5884702040713657,2097.9,88,0.0,0,45251.83684782608,24471.702717391305,0,Guinea,9.509166666,-13.712222222
