capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country
Abuja,Summer,2000,24.313043478260873,0.9983466982752028,861.5,87,0.0,0,45158.65858695652,25993.04304347826,0,Nigeria
Accra,Summer,2000,24.87663043478261,0.5521909949353775,188.5,37,0.0,0,44567.17902173913,32173.56,0,Ghana
Addis Ababa,Summer,2000,15.30054347826087,0.6751676456534473,1065.0,88,0.0,0,45158.65858695652,34713.564239130435,0,Ethiopia
Algiers,Summer,2000,25.595108695652176,2.8986645256068293,10.4,4,0.0,0,51036.64760869565,46497.29380434783,1,Algeria
Alofi,Summer,2000,23.833695652173912,0.8971293870583815,133.4,19,0.0,0,40320.98597826087,32169.012282608695,3,Niue
Amman,Summer,2000,26.080978260869564,2.395827902872317,0.0,0,0.0,0,49760.95793478261,45852.7825,1,Jordan
Amsterdam,Summer,2000,15.89782608695652,2.330423640252616,188.5,36,0.0,0,57009.5625,39030.08315217391,4,Kingdom of the Netherlands
Andorra la Vella,Summer,2000,18.440217391304348,3.6386451343542934,124.9,15,0.49,0,52799.02369565217,45416.1502173913,4,Andorra
Antananarivo,Summer,2000,14.389130434782608,1.3108973959848298,17.7,4,0.0,0,40360.19652173913,30237.49304347826,3,Madagascar
Apia,Summer,2000,25.834782608695654,0.6083999520646263,270.9,63,0.0,0,41274.84369565218,37081.863586956526,0,Samoa
Asmara,Summer,2000,18.807608695652174,1.0582469118863305,693.7,63,0.0,0,46285.65347826087,36950.26010869566,0,Eritrea
Astana,Summer,2000,19.358152173913044,4.088944335496196,129.4,26,0.0,0,56380.79206521739,43181.6225,4,Kazakhstan
Asunción,Summer,2000,17.694021739130434,5.588591412649899,312.7,25,0.0,0,39118.76239130435,26177.019782608695,3,Paraguay
Athens,Summer,2000,26.52282608695652,2.680653244188014,2.5,1,0.0,0,51379.402500000004,46781.44782608696,1,Greece
Avarua,Summer,2000,22.45434782608696,1.1217787135095494,192.1,18,0.0,0,39923.05945652174,31348.213369565216,3,Cook Islands
Baghdad,Summer,2000,38.30869565217392,2.672258877943929,0.0,0,0.0,0,50095.63619565218,45567.33902173913,1,Iraq
