capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country,lat,lon
Abuja,Autumn,2017,26.212087912087913,1.394161250424636,190.0,31,0.0,0,42961.43637362638,34710.5145054945,4,Nigeria,9.055555555,7.491388888
Accra,Autumn,2017,26.402747252747254,1.0368853637848594,126.1,35,0.0,0,43209.49054945055,36299.69912087912,4,Ghana,5.55602,-0.1969
Addis Ababa,Autumn,2017,14.611538461538462,0.7589860532709611,334.3,31,0.0,0,42961.43637362638,37536.07527472528,4,Ethiopia,9.027222222,38.736944444
Algiers,Autumn,2017,19.84065934065934,3.5602895644401977,210.9,20,0.0,0,40615.43351648352,33968.497142857144,4,Algeria,36.776388888,3.058611111
Alofi,Autumn,2017,24.78516483516483,0.6434496658849659,306.3,39,0.0,0,45059.438571428575,35694.40637362637,4,Niue,-19.056,-169.921
Amman,Autumn,2017,19.807142857142857,4.643098650617397,31.5,5,0.0,0,41107.904615384614,36618.123516483516,2,Jordan,31.95,35.933333333
Amsterdam,Autumn,2017,11.770879120879123,3.630106104464488,249.0,46,0.21000000000000002,0,38416.17351648352,21279.085054945055,3,Kingdom of the Netherlands,52.366666666,4.883333333
Andorra la Vella,Autumn,2017,11.491758241758241,5.087906487917445,92.4,18,12.32,4,39948.4278021978,31942.42054945055,3,Andorra,42.507222222,1.522222222
Antananarivo,Autumn,2017,19.292857142857144,2.264110954149204,279.1,29,0.0,0,45041.84065934066,37207.97186813187,4,Madagascar,-18.91,47.525
Apia,Autumn,2017,24.954395604395604,0.4375213233945385,681.7,70,0.0,0,44633.84175824176,36206.6889010989,0,Samoa,-13.833333333,-171.833333333
Asmara,Autumn,2017,16.86208791208791,1.5723362069675686,47.5,14,0.0,0,42495.35208791209,38329.0132967033,4,Eritrea,15.333333333,38.916666666
Astana,Autumn,2017,4.8598901098901095,7.6765089713873165,74.6,17,18.48,7,38639.30747252747,20865.098461538462,1,Kazakhstan,51.133333333,71.433333333
Asunción,Autumn,2017,23.88736263736264,3.187881510123694,606.4,36,0.0,0,45602.82120879121,33342.45538461539,4,Paraguay,-25.28,-57.634444444
Athens,Autumn,2017,18.956593406593406,4.9412841830124865,108.3,12,0.0,0,40484.52032967033,34457.9310989011,2,Greece,37.984166666,23.728055555
Avarua,Autumn,2017,23.281868131868134,0.7411521242676653,428.59999999999997,39,0.0,0,45238.4854945055,33773.85835164835,4,Cook Islands,-21.207,-159.771
Baghdad,Autumn,2017,27.446703296703298,7.109832011602754,9.1,1,0.0,0,40977.8921978022,35059.3621978022,2,Iraq,33.315277777,44.366111111
Baku,Autumn,2017,17.0989010989011,5.66380309029767,106.5,19,0.0,0,40208.963626373625,26358.04901098901,3,Azerbaijan,40.366655555,49.835183333
Bamako,Autumn,2017,28.13186813186813,1.3776291325541952,70.4,15,0.0,0,42699.57186813187,36490.07098901099,4,Mali,12.645833333,-7.992222222
Bandar Seri Begawan,Autumn,2017,26.70054945054945,0.6670621537547433,1044.9,82,0.0,0,43259.86868131868,29146.329560439564,0,Brunei,4.916666666,114.916666666
Bangui,Autumn,2017,26.535714285714285,0.7956927699350959,322.0,54,0.0,0,43295.10428571429,33694.5676923077,0,Central African Republic,4.37325,18.562833333
Basseterre,Autumn,2017,26.91978021978022,0.603778800595751,485.0,61,0.0,0,42345.90879120879,35541.01296703297,0,Saint Kitts and Nevis,17.298333333,-62.734166666
Beijing,Autumn,2017,12.258241758241759,8.323014490409724,76.10000000000001,10,0.0,0,40267.30252747252,28088.578681318682,3,People's Republic of China,39.90403,116.407526
Beirut,Autumn,2017,23.453846153846158,2.7740486934886643,141.1,17,0.0,0,40914.916923076926,36095.38692307692,4,Lebanon,33.886944444,35.513055555
Belgrade,Autumn,2017,13.229120879120877,5.294919293971376,130.5,25,0.0,0,39639.60549450549,25692.164725274724,3,Serbia,44.817777777,20.456944444
Belmopan,Autumn,2017,25.143406593406596,1.7206783028020693,782.1,66,0.0,0,42351.29274725275,30511.65758241758,0,Belize,17.25,-88.7675
Berlin,Autumn,2017,10.655494505494506,4.243101921874365,173.3,38,0.7,0,38375.384835164834,18792.92747252747,3,Germany,52.516666666,13.383333333
Bishkek,Autumn,2017,12.968131868131866,6.980928450203602,97.4,16,14.979999999999999,2,39903.226593406594,31552.131758241754,3,Kyrgyzstan,42.866666666,74.566666666
Bissau,Autumn,2017,27.883516483516484,0.8202321807152086,303.1,43,0.0,0,42756.48274725275,35559.612747252744,0,Guinea-Bissau,11.859166666,-15.595555555
Bogotá,Autumn,2017,12.904395604395605,0.6777679196224572,270.2,45,0.0,0,43280.00538461539,35950.776483516485,4,Colombia,4.60971,-74.08175
Brasília,Autumn,2017,23.215384615384615,1.9720926886557781,287.8,35,0.0,0,44789.4743956044,35275.646263736264,4,Brazil,-15.793888888,-47.882777777
