capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country
Abuja,Autumn,2012,25.7521978021978,1.3639589454540053,563.6,50,0.0,0,42955.73505494506,33185.18340659341,0,Nigeria
Accra,Autumn,2012,26.321978021978023,0.8835599958000923,188.20000000000002,43,0.0,0,43206.00692307692,36889.375054945056,3,Ghana
Addis Ababa,Autumn,2012,15.173626373626373,0.9883021540708822,315.9,29,0.0,0,42955.73505494506,38480.45736263736,3,Ethiopia
Algiers,Autumn,2012,20.602747252747253,4.227550923783982,214.9,22,0.0,0,40588.10120879121,33009.09252747252,4,Algeria
Alofi,Autumn,2012,25.302197802197803,0.8999355559616474,150.5,28,0.0,0,45072.09923076923,38488.47450549451,3,Niue
Amman,Autumn,2012,20.966483516483517,4.707187500367302,20.6,7,0.0,0,41085.20384615385,36638.852967032966,2,Jordan
Amsterdam,Autumn,2012,10.817582417582416,3.822094928950569,215.9,40,0.0,0,38367.64076923077,22035.74758241758,4,Kingdom of the Netherlands
Andorra la Vella,Autumn,2012,11.203846153846154,5.510410504819392,239.5,29,3.2199999999999998,1,39914.75131868132,30566.726373626374,4,Andorra
Antananarivo,Autumn,2012,18.75989010989011,2.1063293477334724,148.8,18,0.0,0,45054.35230769231,36899.6078021978,3,Madagascar
Apia,Autumn,2012,26.75824175824176,0.4797721528823024,565.7,81,0.0,0,44642.84472527473,39214.613186813185,0,Samoa
Asmara,Autumn,2012,17.025274725274723,1.0228601953556384,254.3,31,0.0,0,42485.44626373626,38190.17241758242,3,Eritrea
Astana,Autumn,2012,4.666483516483516,9.20958756147652,46.2,11,35.28,10,38592.96417582418,20286.715274725277,1,Kazakhstan
Asunción,Autumn,2012,25.67142857142857,3.707471007282627,273.3,25,0.0,0,45620.11934065934,38410.451868131866,3,Paraguay
Athens,Autumn,2012,20.743956043956043,4.210923857228921,56.9,14,0.0,0,40455.948791208786,33465.39769230769,2,Greece
Avarua,Autumn,2012,23.937912087912085,1.373870054087692,166.79999999999998,24,0.0,0,45252.67879120879,39351.87681318681,3,Cook Islands
Baghdad,Autumn,2012,27.30879120879121,6.833132490571191,59.9,7,0.0,0,40953.97230769231,35521.42802197803,2,Iraq
Baku,Autumn,2012,18.864835164835167,4.559760559658407,60.9,16,0.0,0,40177.77307692308,30168.571428571428,4,Azerbaijan
Bamako,Autumn,2012,27.25,1.370908052674901,229.6,35,0.0,0,42691.51373626374,36736.274175824175,3,Mali
Bandar Seri Begawan,Autumn,2012,26.64395604395604,0.5568679857937191,762.0,79,0.0,0,43256.83362637363,31452.53043956044,0,Brunei
Bangui,Autumn,2012,26.286263736263738,0.8711762780563456,420.5,68,0.0,0,43292.38362637363,34152.68384615384,0,Central African Republic
Basseterre,Autumn,2012,26.871428571428574,0.5738342219541395,312.7,49,0.0,0,42334.64428571428,36908.83802197802,3,Saint Kitts and Nevis
Beijing,Autumn,2012,12.473076923076922,7.837971349258363,163.5,13,1.8900000000000001,0,40236.66868131868,31757.75626373626,4,People's Republic of China
Beirut,Autumn,2012,22.18846153846154,3.853851442410689,100.3,11,0.0,0,40890.405494505496,36285.28,2,Lebanon
Belgrade,Autumn,2012,15.494505494505495,5.724045046747247,81.5,17,0.0,0,39602.96725274725,27901.634725274722,4,Serbia
Belmopan,Autumn,2012,24.996703296703295,1.732753143247317,269.1,54,0.0,0,42340.07615384616,34202.99076923077,3,Belize
Berlin,Autumn,2012,10.063736263736264,5.0416160654984985,128.9,24,0.77,0,38326.45230769231,21656.335714285713,4,Germany
Bishkek,Autumn,2012,9.48846153846154,7.919126203632558,76.4,14,26.110000000000003,4,39869.117802197805,31903.694395604394,1,Kyrgyzstan
Bissau,Autumn,2012,27.332417582417584,0.9607107793010329,455.8,68,0.0,0,42748.93879120879,33571.72450549451,0,Guinea-Bissau
Bogotá,Autumn,2012,15.259890109890112,1.2637514651100377,540.4,56,0.0,0,43277.14945054945,33745.31362637362,0,Colombia
Brasília,Autumn,2012,23.582967032967034,1.8110343849152994,406.0,42,0.0,0,44799.818681318684,37537.656923076924,3,Brazil
Bratislava,Autumn,2012,12.286263736263736,5.197745590018732,140.7,18,5.390000000000001,1,39109.31923076923,24008.875934065934,4,Slovakia
Brazzaville,Autumn,2012,26.104945054945055,0.8194189996256485,318.1,50,0.0,0,43919.17747252747,33382.16450549451,3,Republic of the Congo
Bridgetown,Autumn,2012,27.4032967032967,0.5244469148966049,258.3,46,0.0,0,42654.82417582418,38326.52197802198,3,Barbados
Bucharest,Autumn,2012,14.599450549450548,5.860704804531682,109.99999999999999,14,0.0,0,39661.588131868135,28355.640659340657,4,Romania
Budapest,Autumn,2012,13.404945054945054,5.736922592320801,155.2,23,0.56,0,39208.986923076925,24900.026043956044,4,Hungary
Buenos Aires,Autumn,2012,17.869230769230768,3.6295298840879067,512.1,26,0.0,0,46589.518131868135,34420.936703296706,3,Argentina
Cairo,Autumn,2012,24.41153846153846,3.207093500032187,5.9,1,0.0,0,41265.33285714286,37148.081978021975,2,Egypt
Canberra,Autumn,2012,12.772527472527472,4.519318186876962,146.3,14,0.0,0,46671.902417582416,39393.486923076925,3,Australia
Castries,Autumn,2012,27.602747252747253,0.627311841527119,280.3,44,0.0,0,42586.35703296703,37236.10703296703,3,Saint Lucia
Cetinje,Autumn,2012,13.865934065934065,4.33900192774072,1057.7,35,0.0,0,39932.855274725276,27369.01879120879,4,Montenegro
Chișinău,Autumn,2012,12.94010989010989,6.267465462299995,100.39999999999999,16,0.0,0,39284.72153846154,24649.534945054947,4,Moldova
City of Brussels,Autumn,2012,11.239560439560439,4.157045668925072,209.0,36,0.0,0,38644.0889010989,22141.023736263734,4,Belgium
Commune of Monaco,Autumn,2012,16.44945054945055,3.6846716611260275,438.0,32,5.74,2,39747.855274725276,29894.374285714286,4,Monaco
Conakry,Autumn,2012,26.124175824175826,0.6750457859929305,804.2,83,0.0,0,42919.744065934065,31680.273516483518,0,Guinea
Copenhagen,Autumn,2012,9.62032967032967,3.987138893589806,180.1,35,0.0,0,37665.1943956044,18302.96054945055,4,Denmark
Dakar,Autumn,2012,27.70054945054945,0.9225115026532021,165.4,24,0.0,0,42538.68912087912,36716.26681318682,3,Senegal
Dhaka,Autumn,2012,25.43736263736264,2.7343960678588295,435.6,44,0.0,0,41821.81549450549,30300.763076923075,3,Bangladesh
Djibouti City,Autumn,2012,29.16813186813187,3.0391749290036323,23.8,9,0.0,0,42769.75461538461,38529.093406593405,2,Djibouti
Doha,Autumn,2012,29.24175824175824,3.7211353086589014,4.7,2,0.0,0,41691.15879120879,37767.80934065934,2,Qatar
Dublin,Autumn,2012,9.935714285714285,3.2008357043667854,235.1,30,0.0,0,38171.503956043955,21897.67,4,Ireland
Freetown,Autumn,2012,25.724725274725273,0.6678478546950318,773.7,87,0.0,0,42996.78076923077,31271.646043956043,0,Sierra Leone
Gaborone,Autumn,2012,23.284065934065932,3.325832219333977,110.3,20,0.0,0,45561.33065934066,39766.37945054945,3,Botswana
Georgetown,Autumn,2012,27.44065934065934,0.7352970710276101,322.6,47,0.0,0,43119.447692307695,38141.24582417583,3,Guyana
Gibraltar,Autumn,2012,18.607692307692307,3.567802958224838,412.1,25,0.0,0,40656.366263736265,31816.281428571427,4,Gibraltar
Gitega,Autumn,2012,19.065934065934066,1.2468377583328119,289.9,42,0.0,0,43857.426043956046,35990.22692307692,3,Burundi
Guatemala City,Autumn,2012,18.84285714285714,0.9088323225305064,471.9,43,0.0,0,42538.68912087912,37290.371208791206,3,Guatemala
Havana,Autumn,2012,26.083516483516483,2.1517958255199954,184.2,34,0.0,0,41868.59175824176,35719.42703296703,3,Cuba
Helsinki,Autumn,2012,7.334615384615385,4.738364065486529,249.6,43,27.580000000000002,4,36445.877252747254,14964.835164835165,1,Finland
Honiara,Autumn,2012,26.806593406593407,0.6121550634715208,695.6,78,0.0,0,44306.31615384616,33953.74505494505,0,Solomon Islands
Islamabad,Autumn,2012,20.357692307692307,4.333807173304398,188.2,18,0.0,0,40911.69868131868,34567.26186813187,4,Pakistan
Jakarta,Autumn,2012,27.487362637362637,0.6581790286081983,365.8,53,0.0,0,44059.02274725275,38003.9032967033,3,Indonesia
Jerusalem,Autumn,2012,20.764285714285712,4.495789917703784,31.2,8,0.0,0,41098.79406593406,36457.29340659341,2,Israel
Kabul,Autumn,2012,13.566483516483515,6.184492501163497,37.6,5,3.22,1,40825.88406593407,35279.36120879121,4,Afghanistan
Kathmandu,Autumn,2012,17.375824175824178,3.0434206142774713,465.1,36,0.0,0,41476.50868131868,33035.49813186813,3,Nepal
Kigali,Autumn,2012,18.694505494505496,0.7376934981357086,360.5,60,0.0,0,43749.84362637363,36064.50560439561,0,Rwanda
Kingston,Autumn,2012,26.889560439560437,1.153605856133917,311.6,37,0.0,0,42285.57791208791,36451.344175824175,3,Jamaica
Kingstown,Autumn,2012,27.71978021978022,0.5440526486409969,319.5,46,0.0,0,42649.5732967033,37829.22571428571,3,Saint Vincent and the Grenadines
Kinshasa,Autumn,2012,26.304945054945055,0.819418999625649,318.1,50,0.0,0,43924.33263736264,33379.61846153846,3,Democratic Republic of the Congo
Kuala Lumpur,Autumn,2012,26.280769230769234,0.6118627855786513,864.6,72,0.0,0,43383.730659340654,30551.370549450552,0,Malaysia
Kuwait City,Autumn,2012,28.66153846153846,6.0746105358609706,38.3,5,0.0,0,41330.30934065934,36916.40626373626,2,Kuwait
La Paz,Autumn,2012,9.737362637362638,1.7613693127569423,559.8,81,0.0,0,44856.77153846154,37089.060329670334,0,Bolivia
