capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine
Abuja,Autumn,1995,25.346153846153847,0.9972804901673215,612.4,55,0.0,0,42978.835824175825,32718.24208791209
Abuja,Autumn,1996,25.50934065934066,1.2654360708184524,474.1,46,0.0,0,42959.12263736264,32873.976263736266
Abuja,Autumn,1997,25.83076923076923,0.8138990256362427,446.4,57,0.0,0,42965.378021978024,34445.16450549451
Abuja,Autumn,1998,25.974175824175827,1.551457426589638,352.3,48,0.0,0,42971.69802197802,33180.9443956044
Abuja,Autumn,1999,25.30934065934066,1.5023853642330853,457.3,56,0.0,0,42978.14065934066,31762.49989010989
Abuja,Autumn,2000,25.652747252747254,1.3246459199298537,387.6,46,0.0,0,42958.429780219776,33968.61560439561
Abuja,Autumn,2001,26.173076923076923,1.635615882852487,338.4,41,0.0,0,42964.53318681318,34473.18923076923
Abuja,Autumn,2002,25.55824175824176,1.1363749316787943,437.4,49,0.0,0,42970.8778021978,32846.78076923077
Abuja,Autumn,2003,25.83681318681319,1.064890061222681,359.4,53,0.0,0,42977.243296703295,34503.67076923077
Abuja,Autumn,2004,25.93901098901099,1.066505253354835,381.9,50,0.0,0,42957.38395604395,34578.52461538461
Abuja,Autumn,2005,26.020879120879123,1.299638110613574,393.8,45,0.0,0,42963.618571428575,34829.85428571428
Abuja,Autumn,2006,25.89010989010989,1.2249312856061214,398.4,55,0.0,0,42969.93923076923,34418.49285714286
Abuja,Autumn,2007,25.736263736263737,1.1649050017077163,329.1,45,0.0,0,42976.283626373624,33778.01472527473
Abuja,Autumn,2008,26.048901098901098,1.3485378506198256,350.0,42,0.0,0,42956.533626373624,34098.34505494506
Abuja,Autumn,2009,25.766483516483518,0.9402143651865001,403.4,54,0.0,0,42962.68934065934,32392.787362637362
Abuja,Autumn,2010,25.67087912087912,1.334105316808607,502.3,60,0.0,0,42969.10582417582,31556.69538461538
Abuja,Autumn,2011,25.843956043956045,1.2519947453926576,372.2,41,0.0,0,42975.49505494505,33278.15681318681
Abuja,Autumn,2012,25.7521978021978,1.3639589454540053,563.6,50,0.0,0,42955.73505494506,33185.18340659341
Abuja,Autumn,2013,25.96483516483517,1.5511553848931576,562.4,45,0.0,0,42962.11076923077,34215.45923076923
Abuja,Autumn,2014,25.678021978021977,1.1843706437318622,498.6,55,0.0,0,42968.486923076925,32827.74318681318
Abuja,Autumn,2015,26.097252747252746,1.0267359997520416,370.8,53,0.0,0,42974.82307692308,33385.81340659341
