capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country
Malabo,Summer,2023,25.571739130434782,0.5061872317797219,773.9,66,0.0,0,44260.32891304348,26041.206195652176,0,Equatorial Guinea
Malé,Summer,2023,28.091847826086955,0.6440034969323969,495.2,43,0.0,0,44331.95054347826,35455.42891304348,0,Maldives
Managua,Summer,2023,28.816304347826087,1.0709733863484212,614.3,69,0.0,0,45711.00902173913,35492.39304347826,0,Nicaragua
Manama,Summer,2023,33.7929347826087,1.440306391430116,0.0,0,0.0,0,48468.35706521739,42615.70217391304,1,Bahrain
Manila,Summer,2023,28.258152173913043,0.8973488783943875,870.1999999999999,82,0.0,0,46155.555869565214,36053.85576086956,0,Philippines
Maputo,Summer,2023,20.02228260869565,2.2065258373522423,47.3,7,0.0,0,38968.43239130435,33012.39586956522,3,Mozambique
Maseru,Summer,2023,8.405434782608696,2.703065582843025,29.7,5,1.96,1,38247.69760869566,33854.22782608696,3,Lesotho
Mexico City,Summer,2023,19.615760869565218,2.031914721806439,341.9,53,0.0,0,47055.126739130435,40716.37836956522,4,Mexico
Minsk,Summer,2023,18.735869565217392,3.121780328972596,229.1,29,0.0,0,57957.8725,44003.97543478261,4,Belarus
Monrovia,Summer,2023,25.448913043478264,0.5869916908293711,1389.7,89,0.0,0,44691.86521739131,26265.57695652174,0,Liberia
Moroni,Summer,2023,24.58423913043478,0.7081522678745994,192.3,51,0.0,0,41635.03206521739,37767.692065217394,0,Comoros
Moscow,Summer,2023,17.50108695652174,3.14552689781584,176.9,29,0.0,0,59177.448913043474,40887.737282608694,4,Russia
Muscat,Summer,2023,34.715760869565216,1.5779721537506322,0.0,0,0.0,0,47900.573913043474,40049.373043478256,1,Oman
N'Djamena,Summer,2023,29.1875,1.9249179374544942,484.3,51,0.0,0,45711.00902173913,31336.45239130435,0,Chad
Nairobi,Summer,2023,18.509239130434782,1.14157037943319,45.4,15,0.0,0,43406.31130434783,32463.831195652176,3,Kenya
Naypyidaw,Summer,2023,27.16467391304348,1.1320636132156794,1296.9,89,0.0,0,47123.512717391306,30099.013478260873,0,Myanmar
New Delhi,Summer,2023,30.627173913043475,1.8110832931415959,551.5,50,0.0,0,49002.233260869565,34191.57467391305,0,India
Ngerulmud,Summer,2023,26.240760869565218,0.8387238261036585,2410.5,92,0.0,0,44897.438804347825,22439.875326086956,0,Palau
Niamey,Summer,2023,30.405434782608697,2.3885884438181693,263.8,30,0.0,0,45963.71858695652,35094.43543478261,0,Niger
Nicosia,Summer,2023,29.445652173913043,2.8141289146052313,18.7,9,0.0,0,50623.195543478265,46114.39684782609,1,Cyprus
Nouakchott,Summer,2023,28.16304347826087,2.138268139278023,117.4,15,0.0,0,46811.68608695652,37729.6675,1,Mauritania
Nuuk,Summer,2023,5.585326086956522,2.619511929662025,228.1,36,23.87,6,68067.1725,26084.96032608696,2,Greenland
Oranjestad,Summer,2023,29.33641304347826,0.7855880159581173,92.6,21,0.0,0,45786.473478260865,40704.24391304348,1,Aruba
Oslo,Summer,2023,16.85054347826087,2.2754602790656113,510.3,52,0.0,0,62562.878586956525,40040.66456521739,4,Norway
Ottawa,Summer,2023,20.247282608695652,2.6999426543608442,413.5,45,0.0,0,53914.922826086964,38152.79043478261,4,Canada
Ouagadougou,Summer,2023,28.178804347826084,1.7833822924039635,464.6,48,0.0,0,45748.70489130435,33232.15445652174,0,Burkina Faso
Palikir,Summer,2023,24.226630434782606,0.5936685669758793,2211.2,92,0.0,0,44800.53315217391,27587.698369565216,0,Federated States of Micronesia
Panama City,Summer,2023,27.448913043478264,0.8012002761266132,821.2,84,0.0,0,45153.37576086957,28732.710108695654,0,Panama
Paris,Summer,2023,20.27663043478261,2.3214178488487724,286.3,32,0.0,0,55324.28206521739,40084.86380434783,4,France
Philipsburg,Summer,2023,28.15380434782609,0.5387834126021092,206.2,37,0.0,0,46798.28315217391,40369.38989130435,0,Sint Maarten
Phnom Penh,Summer,2023,28.785326086956523,0.8796396003845781,676.2,79,0.0,0,45610.8302173913,31592.561304347826,0,Cambodia
Port Louis,Summer,2023,23.186956521739127,0.837968158972347,85.5,29,0.0,0,40107.84195652174,35970.47815217391,3,Mauritius
Port Moresby,Summer,2023,26.099456521739132,0.7659116009739325,141.20000000000002,26,0.0,0,42024.38532608696,35643.7,0,Papua New Guinea
Port-au-Prince,Summer,2023,30.297826086956523,0.9300807315626313,264.9,38,0.0,0,46892.36706521739,40014.69543478261,0,Haiti
Porto-Novo,Summer,2023,26.14945652173913,0.752121342984219,669.0,83,0.0,0,44728.04913043478,28826.083913043476,0,Benin
Prague,Summer,2023,20.9125,3.4828750991162405,247.4,40,0.0,0,55915.05684782608,40357.495652173915,4,Czech Republic
Praia,Summer,2023,26.86086956521739,0.8418590785128647,153.4,17,0.0,0,46219.973695652174,38141.98347826087,0,Cape Verde
Prishtina,Summer,2023,21.60326086956522,3.611974927412175,146.8,26,0.0,0,52888.42652173913,43195.420760869565,4,Kosovo
Pyongyang,Summer,2023,24.366847826086957,2.573622294131823,792.4,47,0.0,0,51728.811413043484,31221.434782608696,0,North Korea
Quito,Summer,2023,13.881521739130434,0.9391870868669343,78.9,15,0.0,0,43583.74989130435,38519.52858695652,3,Ecuador
Rabat,Summer,2023,23.969565217391303,2.2222273318410233,20.599999999999998,4,0.0,0,50324.54402173913,43988.475760869565,1,Morocco
Reykjavík,Summer,2023,11.221195652173913,1.9966349946745179,253.1,35,0.0,0,68067.1725,33708.33347826087,4,Iceland
Riga,Summer,2023,17.62608695652174,2.806551188696378,286.1,44,0.0,0,60035.42467391305,43920.85413043478,4,Latvia
Riyadh,Summer,2023,36.30163043478261,1.2880996115104715,0.0,0,0.0,0,48121.356413043475,41977.40902173913,1,Saudi Arabia
Rome,Summer,2023,25.692391304347826,3.4525984384324824,174.8,22,0.0,0,52625.479456521745,46551.75195652174,4,Italy
