capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country
Abuja,Summer,2022,24.167934782608693,1.0562368803200788,539.2,68,0.0,0,45162.515543478265,24814.81456521739,0,Nigeria
Accra,Summer,2022,24.94076086956522,0.9063248255680714,411.2,57,0.0,0,44569.58456521739,33365.38336956522,0,Ghana
Addis Ababa,Summer,2022,15.020652173913044,0.952848597163316,795.5,80,0.0,0,45162.515543478265,30416.93,0,Ethiopia
Algiers,Summer,2022,25.159239130434784,2.0706734232381323,16.2,4,0.0,0,51054.950000000004,42960.63554347826,1,Algeria
Alofi,Summer,2022,24.945108695652173,0.982401738021981,129.0,27,0.0,0,40312.876956521744,35910.86913043478,0,Niue
Amman,Summer,2022,25.757065217391304,2.247032004859917,0.1,0,0.0,0,49776.10032608696,45883.317717391306,1,Jordan
Amsterdam,Summer,2022,17.722282608695654,2.892462391887826,165.9,23,0.0,0,57043.15815217391,42051.258804347824,4,Kingdom of the Netherlands
Andorra la Vella,Summer,2022,21.74021739130435,2.58329629203494,103.5,24,0.0,0,52821.73880434782,46139.991956521735,4,Andorra
Antananarivo,Summer,2022,14.436413043478263,1.3951072915703777,24.9,4,0.0,0,40352.18630434783,32545.07206521739,3,Madagascar
Apia,Summer,2022,24.55652173913043,0.6309428402431438,204.3,51,0.0,0,41269.119021739134,37532.705869565216,0,Samoa
Asmara,Summer,2022,17.718478260869563,1.8392801594691133,363.5,53,0.0,0,46292.26923913043,33162.99358695652,0,Eritrea
Astana,Summer,2022,19.349456521739132,3.4852553989472645,150.1,29,0.0,0,56412.725543478264,44093.44565217391,4,Kazakhstan
Asunción,Summer,2022,19.383695652173913,4.67478100031007,241.6,19,0.0,0,39107.62586956522,28686.66347826087,3,Paraguay
Athens,Summer,2022,27.381521739130434,2.1542536173519284,50.8,11,0.0,0,51398.55826086957,46005.28913043478,1,Greece
Avarua,Summer,2022,23.537499999999998,1.2215920300624477,261.8,40,0.0,0,39913.95043478261,33660.13032608696,0,Cook Islands
Baghdad,Summer,2022,37.370652173913044,2.034579527988403,0.0,0,0.0,0,50111.60576086956,43958.77369565218,1,Iraq
Baku,Summer,2022,26.32608695652174,1.8750308167558303,28.400000000000002,7,0.0,0,52126.83891304347,44525.77152173913,1,Azerbaijan
Bamako,Summer,2022,27.020652173913046,2.2073447847055228,601.5,59,0.0,0,45794.72510869565,30590.69782608696,0,Mali
Bandar Seri Begawan,Summer,2022,26.816304347826087,0.7889034222585284,838.1,73,0.0,0,44449.8625,31491.15391304348,0,Brunei
Bangui,Summer,2022,25.530978260869563,0.9149804054619741,506.4,69,0.0,0,44366.263695652175,29365.007717391305,0,Central African Republic
Basseterre,Summer,2022,27.28641304347826,0.6277074658510448,198.8,61,0.0,0,46658.86858695652,41525.94413043478,0,Saint Kitts and Nevis
Beijing,Summer,2022,25.80163043478261,3.099356997182902,522.4,30,0.0,0,51972.07869565218,31774.25413043478,4,People's Republic of China
Beirut,Summer,2022,26.09021739130435,1.6696258567931472,30.3,5,0.0,0,50274.661195652174,45836.90304347826,1,Lebanon
Belgrade,Summer,2022,23.38478260869565,2.4442997056667983,155.3,17,0.0,0,53653.54858695652,45027.09108695652,4,Serbia
Belmopan,Summer,2022,26.613586956521736,0.8313600422368147,516.2,82,0.0,0,46645.6247826087,35621.32934782608,0,Belize
Berlin,Summer,2022,20.391304347826086,3.372412387734917,143.4,22,0.0,0,57159.05173913043,42774.82206521739,4,Germany
Bishkek,Summer,2022,23.854347826086954,3.3091751584550337,85.7,19,0.0,0,52942.93358695652,44013.111304347825,4,Kyrgyzstan
Bissau,Summer,2022,26.582065217391307,1.0133336758230715,1009.5,72,0.0,0,45656.77456521739,28497.7825,0,Guinea-Bissau
Bogotá,Summer,2022,11.730434782608697,0.6747794316769281,325.1,73,0.0,0,44402.07206521739,36732.82543478261,0,Colombia
Brasília,Summer,2022,20.683695652173913,1.4100134185249598,0.4,0,0.0,0,40918.06369565217,37671.16097826087,3,Brazil
Bratislava,Summer,2022,22.33695652173913,2.8866105220104026,198.20000000000002,28,0.0,0,54989.225543478264,42550.4275,4,Slovakia
Brazzaville,Summer,2022,25.185326086956525,0.8623230203351332,42.9,8,0.0,0,42910.439021739134,36247.961304347824,3,Republic of the Congo
Bridgetown,Summer,2022,27.452173913043477,0.7203445849523923,255.7,58,0.0,0,45883.02358695652,39403.58586956521,0,Barbados
Bucharest,Summer,2022,24.292934782608693,2.462516598055724,147.5,23,0.0,0,53496.475543478264,45040.09706521739,4,Romania
Budapest,Summer,2022,23.769565217391307,2.7944996654706045,150.4,22,0.0,0,54717.64510869565,45068.04945652174,4,Hungary
Buenos Aires,Summer,2022,11.218478260869563,2.7110246774457853,78.9,11,0.0,0,37008.3,27550.77445652174,3,Argentina
Cairo,Summer,2022,30.05923913043478,1.3712497177181435,0.0,0,0.0,0,49318.0527173913,44878.82565217391,1,Egypt
Canberra,Summer,2022,7.303260869565217,2.0861896011816263,164.7,22,0.42,0,36831.357391304344,25239.69206521739,3,Australia
Castries,Summer,2022,27.286956521739132,0.7280060667698462,353.2,71,0.0,0,46048.13032608696,40577.93815217391,0,Saint Lucia
Cetinje,Summer,2022,22.75163043478261,2.573773591301947,189.4,27,0.0,0,52773.713152173914,46189.49717391305,4,Montenegro
Chișinău,Summer,2022,23.160869565217393,2.27367672041424,138.9,24,0.0,0,54511.93510869565,44649.439239130435,4,Moldova
City of Brussels,Summer,2022,19.208152173913046,3.172852541690823,111.5,19,0.0,0,56270.495,41735.150434782605,4,Belgium
Commune of Monaco,Summer,2022,25.86521739130435,1.9237631838109692,75.5,15,0.0,0,53265.89673913043,46449.46000000001,1,Monaco
Conakry,Summer,2022,25.783152173913045,0.7740388287784796,2246.6,85,0.0,0,45248.25282608695,24443.84847826087,0,Guinea
Copenhagen,Summer,2022,17.0375,2.513683705089159,119.5,24,0.0,0,59050.04967391305,41870.726195652176,4,Denmark
Dakar,Summer,2022,26.20923913043478,1.1957095770870496,295.7,27,0.0,0,46163.340000000004,36116.946739130435,0,Senegal
Dhaka,Summer,2022,29.127173913043475,0.9635788671189011,604.3,75,0.0,0,47921.23293478261,31928.56260869565,0,Bangladesh
Djibouti City,Summer,2022,34.60597826086956,2.0780623158445453,113.60000000000001,16,0.0,0,45606.845108695656,36268.520760869564,1,Djibouti
