capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country
Abuja,Summer,2005,24.758152173913043,1.0175999876328574,684.7,76,0.0,0,45161.454239130435,27195.71054347826,0,Nigeria
Accra,Summer,2005,24.73315217391304,0.7149993150658773,318.8,33,0.0,0,44568.92326086957,33306.10804347826,0,Ghana
Addis Ababa,Summer,2005,15.570108695652175,0.5378559277766062,1129.1,86,0.0,0,45161.454239130435,36154.87413043478,0,Ethiopia
Algiers,Summer,2005,25.044565217391302,2.2372158978788628,4.2,2,0.0,0,51049.92326086957,46073.482391304344,1,Algeria
Alofi,Summer,2005,23.875543478260873,0.9345473889882163,251.20000000000002,20,0.0,0,40315.1102173913,31777.346304347826,3,Niue
Amman,Summer,2005,25.092391304347824,2.1769261369274395,0.0,0,0.0,0,49771.93826086957,45885.61565217391,1,Jordan
Amsterdam,Summer,2005,16.365760869565218,2.6319771675149677,260.1,35,0.0,0,57033.99108695652,39362.19826086957,4,Kingdom of the Netherlands
Andorra la Vella,Summer,2005,19.17554347826087,2.7606984162239856,207.8,28,0.0,0,52815.508043478265,45735.260434782605,4,Andorra
Antananarivo,Summer,2005,14.553804347826087,1.3306041281744745,14.1,1,0.0,0,40354.39163043478,30475.314239130435,3,Madagascar
Apia,Summer,2005,25.775543478260868,0.7496700580195697,484.2,62,0.0,0,41270.69565217391,36364.36804347826,0,Samoa
Asmara,Summer,2005,18.34184782608696,1.0025318819822289,812.2,74,0.0,0,46290.448913043474,36000.85304347826,0,Eritrea
Astana,Summer,2005,19.627717391304348,4.522746929398829,154.8,37,0.0,0,56404.003152173915,42219.54336956522,4,Kazakhstan
Asunción,Summer,2005,19.89945652173913,5.088521312909579,255.4,22,0.0,0,39110.69086956522,28988.87086956522,3,Paraguay
Athens,Summer,2005,26.205978260869564,2.5065610870351245,31.900000000000002,6,0.0,0,51393.29891304348,46393.4375,1,Greece
Avarua,Summer,2005,22.757608695652173,0.9373195000629608,287.3,28,0.0,0,39916.45836956522,31362.134782608693,3,Cook Islands
Baghdad,Summer,2005,36.89619565217391,2.1956154322045354,0.0,0,0.0,0,50107.2172826087,45552.84717391304,1,Iraq
Baku,Summer,2005,25.770652173913046,2.83351364386961,8.4,3,0.0,0,52121.083695652174,45064.37239130435,1,Azerbaijan
Bamako,Summer,2005,27.158152173913045,1.6683754876518102,489.2,60,0.0,0,45793.23836956522,36762.263695652175,0,Mali
Bandar Seri Begawan,Summer,2005,27.70108695652174,0.9170239208855719,465.2,56,0.0,0,44449.28184782609,37173.934782608696,0,Brunei
Bangui,Summer,2005,26.227717391304346,0.9589762206552028,402.3,55,0.0,0,44365.738586956526,34197.465217391305,0,Central African Republic
Basseterre,Summer,2005,27.2,0.5211989559164055,340.1,63,0.0,0,46656.80228260869,40295.03293478261,0,Saint Kitts and Nevis
Beijing,Summer,2005,26.54891304347826,2.784266808817923,332.0,30,0.0,0,51966.430108695655,37629.50956521739,4,People's Republic of China
Beirut,Summer,2005,24.87173913043478,2.065923207776614,7.6000000000000005,4,0.0,0,50270.16358695652,46023.469673913045,1,Lebanon
Belgrade,Summer,2005,20.821739130434782,3.4754026120457806,321.40000000000003,38,0.0,0,53646.747826086954,39579.698369565216,4,Serbia
Belmopan,Summer,2005,27.254891304347826,1.2902436047057149,549.2,81,0.0,0,46643.56684782609,35644.90597826087,0,Belize
Berlin,Summer,2005,17.544021739130436,3.1237291252401933,224.8,37,0.0,0,57149.80173913043,38323.934565217394,4,Germany
Bishkek,Summer,2005,21.25054347826087,2.9353987183092363,72.3,13,0.0,0,52936.62,45550.87641304348,4,Kyrgyzstan
Bissau,Summer,2005,27.203804347826086,1.3282690069056662,882.5,74,0.0,0,45655.381521739124,32707.86880434783,0,Guinea-Bissau
Bogotá,Summer,2005,15.831521739130435,0.7957206075228301,138.1,21,0.0,0,44401.523260869566,31907.45706521739,3,Colombia
Brasília,Summer,2005,20.356521739130436,1.770627525677566,2.9,1,0.0,0,40919.88065217391,36805.81673913044,3,Brazil
Bratislava,Summer,2005,19.568478260869565,3.134088694433706,313.3,38,0.0,0,54981.49902173913,39338.90391304348,4,Slovakia
Brazzaville,Summer,2005,24.76195652173913,0.8920087703831813,13.3,4,0.0,0,42910.89728260869,31138.668695652173,3,Republic of the Congo
Bridgetown,Summer,2005,27.14891304347826,0.5596298944204968,570.9,67,0.0,0,45881.47826086957,37831.17347826087,0,Barbados
Bucharest,Summer,2005,20.983695652173914,2.920306967679153,400.2,34,0.0,0,53489.78184782608,41160.64554347826,4,Romania
Budapest,Summer,2005,19.933695652173913,3.1449078734882128,331.5,32,0.0,0,54710.10760869565,39426.72423913043,4,Hungary
Buenos Aires,Summer,2005,12.481521739130434,3.311690227717167,413.0,29,0.0,0,37012.83054347826,22190.927826086958,3,Argentina
Cairo,Summer,2005,28.150543478260868,1.5915555761377067,0.2,0,0.0,0,49314.19913043478,44816.84608695652,1,Egypt
Canberra,Summer,2005,7.2668478260869565,2.3830246406881934,225.29999999999998,28,0.14,0,36836.01217391305,26093.464239130433,3,Australia
Castries,Summer,2005,27.249456521739127,0.6367626986190418,532.2,72,0.0,0,46046.474347826086,37130.3825,0,Saint Lucia
Cetinje,Summer,2005,18.767391304347825,3.164495991175423,387.2,38,0.0,0,52767.515760869566,43700.22054347826,4,Montenegro
Chișinău,Summer,2005,20.851086956521737,2.937311866885177,265.09999999999997,35,0.0,0,54504.53989130435,40099.09032608696,4,Moldova
City of Brussels,Summer,2005,17.434239130434783,3.1615037574107525,199.1,32,0.0,0,56261.87315217392,38064.43913043478,4,Belgium
Commune of Monaco,Summer,2005,21.99891304347826,2.136457197088869,68.0,20,0.0,0,53259.36282608695,46250.14847826087,4,Monaco
Conakry,Summer,2005,25.61304347826087,0.719770627582585,2060.1,89,0.0,0,45247.134239130435,27133.674347826087,0,Guinea
Copenhagen,Summer,2005,16.296195652173914,2.5420446224247275,203.8,33,0.0,0,59039.44989130434,40124.34141304348,4,Denmark
Dakar,Summer,2005,27.27608695652174,0.7769155080452349,170.4,19,0.0,0,46161.60565217391,38881.05826086956,0,Senegal
Dhaka,Summer,2005,28.582608695652173,1.2167655462942855,768.8,83,0.0,0,47918.31815217392,29439.417500000003,0,Bangladesh
Djibouti City,Summer,2005,34.4570652173913,1.215503819064955,13.1,3,0.0,0,45605.48543478261,38779.195,1,Djibouti
Doha,Summer,2005,34.569021739130434,1.5621175117132993,0.0,0,0.0,0,48243.559565217394,43955.61326086956,1,Qatar
Dublin,Summer,2005,15.480434782608697,1.779044016061594,134.4,26,0.0,0,57587.35173913044,34279.20184782609,4,Ireland
Freetown,Summer,2005,25.24673913043478,0.7083413666014381,1779.0,89,0.0,0,45063.88532608696,27139.24217391304,0,Sierra Leone
Gaborone,Summer,2005,16.907065217391306,2.803574852174256,1.4,0,0.0,0,39239.15510869565,35012.80760869565,3,Botswana
Georgetown,Summer,2005,26.601630434782606,0.6798291271639278,535.1,82,0.0,0,44773.21119565218,37892.592826086955,0,Guyana
Gibraltar,Summer,2005,22.86304347826087,1.5239276461224587,1.5,0,0.0,0,50873.14369565217,46262.14880434783,1,Gibraltar
Gitega,Summer,2005,19.356521739130436,1.2120552292049642,15.3,4,0.0,0,43052.744021739134,37399.28163043479,3,Burundi
Guatemala City,Summer,2005,19.606521739130436,0.6365781372282133,1011.8,84,0.0,0,46161.60565217391,35759.22934782609,0,Guatemala
Havana,Summer,2005,28.50326086956522,1.0682429948445256,554.1999999999999,58,0.0,0,47802.25608695652,37193.77097826087,0,Cuba
Helsinki,Summer,2005,16.13641304347826,2.8738504941428564,291.3,39,0.0,0,62718.9672826087,45806.78902173913,4,Finland
Honiara,Summer,2005,26.605978260869566,0.5319383170524472,449.6,66,0.0,0,42028.54641304348,35404.611086956524,0,Solomon Islands
Islamabad,Summer,2005,28.816304347826087,2.25084976255797,347.59999999999997,36,0.0,0,50215.541956521745,43226.655326086955,4,Pakistan
Jakarta,Summer,2005,26.518478260869564,0.5379916556046573,206.2,47,0.0,0,42590.80532608696,37654.10326086957,0,Indonesia
Jerusalem,Summer,2005,24.995652173913044,1.903043429685708,0.5,0,0.0,0,49737.304021739124,45462.62434782609,1,Israel
Kabul,Summer,2005,24.479891304347827,2.7915301623654503,2.3,0,0.0,0,50435.91902173913,46124.14608695653,1,Afghanistan
Kathmandu,Summer,2005,21.747826086956522,0.9733513263907944,1600.5,84,0.0,0,48781.22184782609,28929.282826086957,0,Nepal
Kigali,Summer,2005,19.503260869565217,1.0780732800386565,61.9,11,0.0,0,43300.62413043478,34764.38793478261,3,Rwanda
Kingston,Summer,2005,27.60815217391304,0.8005587737418155,521.1,67,0.0,0,46776.455108695656,37694.174782608694,0,Jamaica
Kingstown,Summer,2005,27.430978260869566,0.5209797612289062,628.0,76,0.0,0,45894.117391304346,37101.83597826087,0,Saint Vincent and the Grenadines
Kinshasa,Summer,2005,24.96195652173913,0.8920087703831814,13.3,4,0.0,0,42899.068478260866,31139.95641304348,3,Democratic Republic of the Congo
Kuala Lumpur,Summer,2005,27.273369565217394,0.7332919559697335,199.5,36,0.0,0,44151.586956521736,37338.84945652174,0,Malaysia
Kuwait City,Summer,2005,37.58369565217391,1.720243221617037,0.0,0,0.0,0,49149.785543478254,44005.90847826087,1,Kuwait
La Paz,Summer,2005,7.5978260869565215,1.2753778376475504,554.7,76,3.9899999999999998,1,40792.997282608696,37501.34663043478,2,Bolivia
Libreville,Summer,2005,25.042391304347827,0.4440036866622928,21.8,6,0.0,0,43689.998478260866,33416.80869565217,3,Gabon
Lilongwe,Summer,2005,18.160326086956523,1.433863183418328,1.5,0,0.0,0,41245.84054347826,37194.85760869565,3,Malawi
Lima,Summer,2005,16.585869565217394,0.5540721422736968,0.5,0,0.0,0,41579.04804347826,38191.34619565217,3,Peru
Lisbon,Summer,2005,22.756521739130434,2.1806115861455275,6.3999999999999995,1,0.0,0,51601.41358695652,46703.40163043478,1,Portugal
Ljubljana,Summer,2005,18.349456521739132,3.141476297500778,355.1,39,0.0,0,54134.80380434783,37182.34108695652,4,Slovenia
Lobamba,Summer,2005,16.07554347826087,2.4107416961510824,56.3,17,0.0,0,38864.176630434784,32810.58684782609,3,Eswatini
Luanda,Summer,2005,22.90108695652174,0.9439506139551154,6.7,1,0.0,0,42136.859673913044,29404.306847826087,3,Angola
Luxembourg,Summer,2005,16.742934782608696,3.5386529808356286,159.4,28,0.0,0,55648.39304347826,39460.658369565215,4,Luxembourg
Majuro,Summer,2005,26.872826086956525,0.44699319287527084,886.6,75,0.0,0,44821.46152173913,34997.27880434783,0,Marshall Islands
Malabo,Summer,2005,25.45,0.629451182546185,1822.9,92,0.0,0,44258.550652173915,29311.32326086957,0,Equatorial Guinea
Malé,Summer,2005,27.382065217391304,0.5820379845681638,349.5,42,0.0,0,44329.982065217395,37641.93,0,Maldives
Managua,Summer,2005,27.769565217391307,0.9104387458723766,593.9,68,0.0,0,45705.400434782605,35531.63510869566,0,Nicaragua
Manama,Summer,2005,32.57771739130435,1.5034824799798334,0.0,0,0.0,0,48455.48163043478,44027.55717391304,1,Bahrain
Manila,Summer,2005,27.240760869565218,0.8527566594347011,831.0,80,0.0,0,46148.775652173914,32817.2347826087,0,Philippines
Maputo,Summer,2005,21.181521739130435,1.9268165025987956,16.7,5,0.0,0,38980.830869565216,33455.7647826087,3,Mozambique
Maseru,Summer,2005,9.490760869565218,2.4781232856965216,79.6,13,0.0,0,38262.06619565217,34380.46163043479,3,Lesotho
Mexico City,Summer,2005,17.51195652173913,1.7358591875402758,1076.5,85,0.0,0,47045.97684782609,37349.245652173915,0,Mexico
Minsk,Summer,2005,16.692934782608695,2.6622470629660544,255.9,34,0.0,0,57919.11108695652,42525.42260869565,4,Belarus
Monrovia,Summer,2005,25.07228260869565,0.6991110576317706,1199.3,84,0.0,0,44688.94608695652,28785.68336956522,0,Liberia
Moroni,Summer,2005,25.310326086956525,0.7109248752245835,86.8,29,0.0,0,41640.23456521739,38296.4875,0,Comoros
Moscow,Summer,2005,16.94728260869565,2.7287778946582555,194.2,33,0.0,0,59135.16260869565,40689.927282608696,4,Russia
Muscat,Summer,2005,32.34728260869565,1.1903541843039094,0.0,0,0.0,0,47889.19619565217,42798.630217391306,1,Oman
N'Djamena,Summer,2005,28.82445652173913,2.3983796563744537,412.8,57,0.0,0,45705.400434782605,37648.08282608696,0,Chad
Nairobi,Summer,2005,17.128260869565217,0.9172134204599067,32.1,8,0.0,0,43406.79445652174,30463.91184782609,3,Kenya
Naypyidaw,Summer,2005,26.129347826086956,1.352513983472896,893.0,90,0.0,0,47114.18326086957,23628.03489130435,0,Myanmar
New Delhi,Summer,2005,31.031521739130437,2.798102942431762,413.2,37,0.0,0,48987.94652173913,37392.85489130435,0,India
Ngerulmud,Summer,2005,26.480978260869566,0.527113349326975,1060.8,84,0.0,0,44893.97608695652,32646.633804347828,0,Palau
Niamey,Summer,2005,30.214673913043477,2.173131862152184,211.7,24,0.0,0,45957.44434782609,40243.62423913043,0,Niger
Nicosia,Summer,2005,28.460869565217394,2.7894702526630595,24.5,4,0.0,0,50604.60663043478,46779.53934782609,1,Cyprus
Nouakchott,Summer,2005,28.349999999999998,2.0701037825021418,27.0,5,0.0,0,46803.17739130435,42275.88989130435,1,Mauritania
Nuuk,Summer,2005,7.282608695652174,2.7540024298572825,212.9,36,0.35,0,67997.63282608695,30602.538152173915,4,Greenland
Oranjestad,Summer,2005,28.19945652173913,0.5168849301884333,122.0,22,0.0,0,45780.666304347826,40505.4747826087,0,Aruba
Oslo,Summer,2005,16.269565217391303,3.0893823533791136,242.7,28,0.0,0,62510.479782608694,42523.53445652174,4,Norway
Ottawa,Summer,2005,21.881521739130434,3.023040800393025,233.2,24,0.0,0,53887.46304347826,40310.28989130435,4,Canada
Ouagadougou,Summer,2005,28.295108695652175,1.809408557710162,277.2,46,0.0,0,45742.99760869565,37068.29402173913,0,Burkina Faso
Palikir,Summer,2005,24.230434782608693,0.48521868422818165,846.7,82,0.0,0,44797.32695652174,35847.590217391305,0,Federated States of Micronesia
Panama City,Summer,2005,26.245108695652174,0.647355558271228,824.3,90,0.0,0,45149.23836956522,28489.44456521739,0,Panama
Paris,Summer,2005,18.892391304347825,3.3477147756080803,146.2,30,0.0,0,55292.942065217394,38999.62989130435,4,France
Philipsburg,Summer,2005,27.406521739130437,0.5112050722516783,338.1,56,0.0,0,46789.809347826085,40721.12565217391,0,Sint Maarten
Phnom Penh,Summer,2005,28.719565217391303,1.0240770844134894,442.3,77,0.0,0,45605.48543478261,34315.881195652175,0,Cambodia
Port Louis,Summer,2005,22.76413043478261,0.7784644679461984,96.3,32,0.0,0,40117.14978260869,36099.44489130435,3,Mauritius
Port Moresby,Summer,2005,25.992934782608696,0.6483530072989429,289.3,32,0.0,0,42028.54641304348,36164.48,0,Papua New Guinea
Port-au-Prince,Summer,2005,29.36902173913043,1.025976950432572,478.6,63,0.0,0,46883.64630434783,37955.63445652174,0,Haiti
Porto-Novo,Summer,2005,25.23478260869565,0.6863560064618834,329.9,51,0.0,0,44725.03391304348,31711.86293478261,0,Benin
Prague,Summer,2005,18.171195652173914,3.062124466283802,259.7,38,0.0,0,55882.073369565216,38848.14489130435,4,Czech Republic
Praia,Summer,2005,26.32336956521739,0.8968948597205912,50.4,10,0.0,0,46213.02413043478,40663.44923913044,1,Cape Verde
