capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country
Abuja,Autumn,2020,25.902747252747254,1.849945384139198,335.59999999999997,33,0.0,0,42954.34901098901,32315.00131868132,2,Nigeria
Accra,Autumn,2020,26.352747252747253,0.9272528912319061,178.5,47,0.0,0,43205.16010989011,36569.61373626374,2,Ghana
Addis Ababa,Autumn,2020,14.559340659340661,0.6473412326977726,231.1,30,0.0,0,42954.34901098901,37870.04846153846,2,Ethiopia
Algiers,Autumn,2020,20.203846153846154,3.3333519230250865,166.8,16,0.0,0,40581.465604395606,33157.751648351645,4,Algeria
Alofi,Autumn,2020,24.481318681318683,0.7947972610689362,356.8,44,0.0,0,45075.17307692308,35019.6010989011,2,Niue
Amman,Autumn,2020,22.468131868131866,5.881243804972611,103.5,11,0.0,0,41079.69340659341,36887.38362637363,4,Jordan
Amsterdam,Autumn,2020,11.9510989010989,3.4165526649434383,267.5,47,0.0,0,38355.875054945056,21994.937692307692,3,Kingdom of the Netherlands
Andorra la Vella,Autumn,2020,11.59120879120879,4.168603505882421,174.6,25,30.38,7,39906.57956043956,30665.086703296703,1,Andorra
Antananarivo,Autumn,2020,19.181868131868132,2.3542103710812423,57.3,11,0.0,0,45057.38934065934,41262.65483516483,2,Madagascar
Apia,Autumn,2020,25.083516483516483,0.5494974949419673,974.7,78,0.0,0,44645.02923076923,36519.21263736264,0,Samoa
Asmara,Autumn,2020,16.25934065934066,1.5064474783025108,63.1,12,0.0,0,42483.04043956044,39150.80659340659,2,Eritrea
Astana,Autumn,2020,2.8120879120879123,9.15979542669225,59.2,10,30.73,8,38581.72604395604,22977.025604395607,1,Kazakhstan
Asunción,Autumn,2020,26.07032967032967,4.102810540904167,223.8,16,0.0,0,45624.31758241758,36656.2345054945,2,Paraguay
Athens,Autumn,2020,19.828021978021976,5.09743513277462,72.8,9,0.0,0,40449.013516483516,33950.07296703297,4,Greece
Avarua,Autumn,2020,23.594505494505494,0.8937266096224585,268.5,36,0.0,0,45256.12395604396,35252.68307692308,2,Cook Islands
Baghdad,Autumn,2020,27.546153846153842,7.231033546723881,53.5,3,0.0,0,40948.16593406593,35458.76527472528,4,Iraq
Baku,Autumn,2020,17.224175824175827,5.625148702416485,78.4,16,0.0,0,40170.20384615385,27558.72,3,Azerbaijan
Bamako,Autumn,2020,26.846153846153847,1.2624982017419708,297.6,29,0.0,0,42689.55670329671,35509.58131868132,2,Mali
