capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country,lat,lon
Abuja,Winter,2011,27.619444444444444,1.4855614919339764,4.300000000000001,2,0.0,0,42112.951888888885,38607.28111111111,3,Nigeria,9.055555555,7.491388888
Accra,Winter,2011,27.73777777777778,0.5042689174177392,66.5,11,0.0,0,42693.18466666667,37133.337555555554,0,Ghana,5.55602,-0.1969
Addis Ababa,Winter,2011,15.590555555555557,1.237973480966184,12.2,4,0.0,0,42112.951888888885,39047.10877777778,3,Ethiopia,9.027222222,38.736944444
Algiers,Winter,2011,11.672777777777778,1.9899630326744107,238.8,34,0.0,0,36512.87322222222,29656.550777777775,0,Algeria,36.776388888,3.058611111
Alofi,Winter,2011,25.845555555555556,0.5941023085788145,677.8,59,0.0,0,46964.09922222222,36133.58822222222,2,Niue,-19.056,-169.921
Amman,Winter,2011,9.363888888888889,1.6364017078069053,98.0,19,0.0,0,37705.89555555556,31558.410111111112,0,Jordan,31.95,35.933333333
Amsterdam,Winter,2011,4.651666666666666,2.8335019227216733,223.3,42,3.08,1,31057.490999999998,11841.537555555555,4,Kingdom of the Netherlands,52.366666666,4.883333333
Andorra la Vella,Winter,2011,3.311111111111111,2.760300197175452,24.099999999999998,9,14.84,3,34881.498,28233.142555555558,4,Andorra,42.507222222,1.522222222
Antananarivo,Winter,2011,20.874444444444446,1.163785098420609,547.7,53,0.0,0,46923.82633333334,35775.18977777778,2,Madagascar,-18.91,47.525
Apia,Winter,2011,25.71333333333333,0.8491833486065068,1388.6,84,0.0,0,45988.656777777775,30705.229,2,Samoa,-13.833333333,-171.833333333
Asmara,Winter,2011,15.186666666666666,1.162736021709044,11.3,2,0.0,0,41016.83322222222,37878.064333333336,3,Eritrea,15.333333333,38.916666666
Astana,Winter,2011,-15.515555555555556,6.823635577672572,1.9,1,25.27,9,31621.871444444445,18194.39477777778,1,Kazakhstan,51.133333333,71.433333333
Asunción,Winter,2011,27.257777777777775,2.302989155681377,389.8,46,0.0,0,48205.87988888889,38638.87333333334,2,Paraguay,-25.28,-57.634444444
Athens,Winter,2011,9.638333333333334,2.3216621564171054,254.6,23,0.0,0,36194.116888888886,24838.083666666666,0,Greece,37.984166666,23.728055555
Avarua,Winter,2011,25.431111111111115,0.5966939712958195,859.3,62,0.0,0,47373.63355555555,36801.613333333335,2,Cook Islands,-21.207,-159.771
Baghdad,Winter,2011,11.972222222222221,2.94572734871776,64.2,10,0.0,0,37391.86,30828.90877777778,0,Iraq,33.315277777,44.366111111
Baku,Winter,2011,6.331666666666667,1.9766537664344634,48.8,17,11.34,4,35520.903666666665,21195.30411111111,4,Azerbaijan,40.366655555,49.835183333
Bamako,Winter,2011,25.721111111111114,2.07917682741282,0.0,0,0.0,0,41498.07433333333,38255.89977777778,3,Mali,12.645833333,-7.992222222
Bandar Seri Begawan,Winter,2011,26.02388888888889,0.6235647690685149,1160.9,75,0.0,0,42810.769,29271.40711111111,2,Brunei,4.916666666,114.916666666
Bangui,Winter,2011,28.028888888888886,0.9480310103073452,70.8,10,0.0,0,42892.962,38599.69788888889,0,Central African Republic,4.37325,18.562833333
Basseterre,Winter,2011,24.775555555555556,0.5774432432075822,138.7,23,0.0,0,40663.699555555555,36860.99311111111,0,Saint Kitts and Nevis,17.298333333,-62.734166666
Beijing,Winter,2011,-2.5516666666666667,3.089929729028977,0.0,0,7.42,3,35663.693666666666,29009.601888888887,4,People's Republic of China,39.90403,116.407526
Beirut,Winter,2011,12.603888888888887,1.7472326076594418,373.7,35,0.0,0,37239.51211111111,30955.361,0,Lebanon,33.886944444,35.513055555
Belgrade,Winter,2011,1.42,4.667126248102822,55.5,13,41.160000000000004,9,34119.81355555556,17966.856444444446,4,Serbia,44.817777777,20.456944444
Belmopan,Winter,2011,23.611666666666668,1.7335592081293003,156.6,40,0.0,0,40676.436555555556,31753.138444444445,0,Belize,17.25,-88.7675
Berlin,Winter,2011,1.7394444444444446,3.798724611847269,117.10000000000001,29,12.74,4,30954.012000000002,11883.48688888889,4,Germany,52.516666666,13.383333333
Bishkek,Winter,2011,-4.868333333333333,4.3598103891354585,21.1,6,61.95,21,34770.271,26812.11022222222,1,Kyrgyzstan,42.866666666,74.566666666
Bissau,Winter,2011,26.912222222222223,0.9142846135404475,0.0,0,0.0,0,41631.915,37142.659999999996,3,Guinea-Bissau,11.859166666,-15.595555555
Bogotá,Winter,2011,14.078888888888887,0.6477262642183822,788.8,71,0.0,0,42857.747777777775,34130.87866666667,2,Colombia,4.60971,-74.08175
Brasília,Winter,2011,22.08388888888889,1.1107449615182046,689.5,71,0.0,0,46345.72188888889,33009.782222222224,2,Brazil,-15.793888888,-47.882777777
Bratislava,Winter,2011,1.3016666666666667,3.3585999791914367,44.6,12,8.54,4,32905.06277777778,17659.934,4,Slovakia,48.144722222,17.112777777
Brazzaville,Winter,2011,25.385555555555552,0.7091395499993525,365.3,60,0.0,0,44335.78577777778,33004.863333333335,2,Republic of the Congo,-4.269444444,15.271111111
Bridgetown,Winter,2011,25.944444444444443,0.5509157057630762,115.2,31,0.0,0,41412.50044444444,37343.822222222225,0,Barbados,13.0975,-59.616666666
Bucharest,Winter,2011,-0.11777777777777772,4.801271549224046,51.5,11,39.2,9,34263.33911111111,17733.040444444443,4,Romania,44.413361111,26.097777777
Budapest,Winter,2011,1.1022222222222222,3.338176444188403,66.2,15,11.48,3,33151.22422222223,16266.909666666668,4,Hungary,47.498333333,19.040833333
Buenos Aires,Winter,2011,23.24,2.3618003987626697,206.8,24,0.0,0,50398.87977777777,43147.87744444445,0,Argentina,-34.599722222,-58.381944444
Cairo,Winter,2011,14.662222222222221,1.4544451645143848,11.2,2,0.0,0,38135.886000000006,32820.00044444444,3,Egypt,30.044444444,31.235833333
Canberra,Winter,2011,19.011111111111113,3.3983784779877637,144.5,22,0.0,0,50585.334111111115,40814.36044444444,0,Australia,-35.293055555,149.126944444
Castries,Winter,2011,25.907777777777774,0.5169003941555398,132.4,35,0.0,0,41252.68488888889,36869.90811111111,0,Saint Lucia,14.016666666,-60.983333333
Cetinje,Winter,2011,2.4944444444444445,3.341284524275028,484.7,28,68.95,16,34925.59855555556,20989.07688888889,4,Montenegro,42.389444444,18.924722222
Chișinău,Winter,2011,-0.31833333333333336,4.52742237600895,25.200000000000003,5,20.720000000000002,5,33337.96477777778,14216.315444444443,4,Moldova,47.022777777,28.835277777
City of Brussels,Winter,2011,5.033333333333333,3.1185112408889215,227.6,40,7.28,3,31749.537555555555,11700.57888888889,4,Belgium,50.846666666,4.351666666
Commune of Monaco,Winter,2011,8.733333333333333,1.7744123888889796,142.6,22,9.45,3,34474.28844444444,25390.06511111111,4,Monaco,43.730555555,7.425277777
Conakry,Winter,2011,26.88888888888889,0.5247673522928602,2.3,0,0.0,0,42029.338444444445,37433.559555555556,3,Guinea,9.509166666,-13.712222222
Copenhagen,Winter,2011,1.1966666666666668,3.249423457936617,104.5,23,17.92,6,29278.25777777778,11095.013333333332,4,Denmark,55.676111111,12.568888888
Dakar,Winter,2011,24.01888888888889,1.4868634088255626,0.0,0,0.0,0,41141.31755555556,36733.02311111111,3,Senegal,14.672555555,-17.432
Dhaka,Winter,2011,19.984444444444442,2.2900572148836593,3.0,1,0.0,0,39456.64166666667,35451.75911111111,3,Bangladesh,23.728888888,90.394444444
Djibouti City,Winter,2011,24.471111111111114,0.666450339433731,37.6,16,0.0,0,41680.40211111111,37831.78866666667,0,Djibouti,11.595,43.148055555
Doha,Winter,2011,18.12611111111111,1.9974031986750702,25.8,5,0.0,0,39147.571444444446,34716.344,0,Qatar,25.286205555,51.529436111
Dublin,Winter,2011,5.891666666666667,2.8022688440185934,170.7,32,0.8400000000000001,0,30563.833777777778,14586.318555555556,4,Ireland,53.349722222,-6.260277777
Freetown,Winter,2011,27.04,0.35285353615562387,26.8,7,0.0,0,42208.256222222226,37822.06333333334,0,Sierra Leone,8.487222222,-13.235555555
Gaborone,Winter,2011,23.703333333333337,1.6733670557802869,359.4,44,0.0,0,48072.80222222222,39054.45166666667,2,Botswana,-24.656944444,25.908611111
Georgetown,Winter,2011,25.604999999999997,0.6422419474786148,545.1,71,0.0,0,42492.74055555555,36569.98311111111,2,Guyana,6.805833333,-58.150833333
Gibraltar,Winter,2011,12.577222222222222,1.3862722042296485,222.1,19,0.0,0,36677.26688888889,30177.114333333335,0,Gibraltar,36.14,-5.35
Gitega,Winter,2011,18.649444444444445,0.8535285137856815,230.2,49,0.0,0,44194.147777777776,35953.39433333334,2,Burundi,-3.428333333,29.925
Guatemala City,Winter,2011,18.854444444444447,0.8925611565754005,50.1,10,0.0,0,41141.31755555556,37459.27133333333,0,Guatemala,14.641666666,-90.513333333
Havana,Winter,2011,23.425555555555558,1.7808160678928706,46.4,8,0.0,0,39567.13911111111,35020.458666666666,0,Cuba,23.136666666,-82.358888888
Helsinki,Winter,2011,-4.527222222222222,7.369387642112833,93.7,19,72.31,23,26098.68011111111,8226.099777777777,1,Finland,60.170833333,24.9375
Honiara,Winter,2011,26.707777777777775,0.5788360614349094,1016.8000000000001,79,0.0,0,45221.52533333334,33062.662444444446,2,Solomon Islands,-9.433333,159.95
Islamabad,Winter,2011,10.529444444444444,1.9079946300015778,204.1,18,0.0,0,37290.56166666666,29480.779666666665,0,Pakistan,33.698888888,73.036944444
Jakarta,Winter,2011,26.215555555555557,0.6697158731966015,551.4,74,0.0,0,44656.176555555554,32783.143000000004,2,Indonesia,-6.175277777,106.826944444
Jerusalem,Winter,2011,9.72111111111111,1.4651758681449327,83.1,16,0.0,0,37738.379,31886.68077777778,0,Israel,31.778888888,35.225555555
Kabul,Winter,2011,-0.08499999999999998,3.300395362765164,79.1,12,38.22,11,37084.71744444444,29660.087666666666,4,Afghanistan,34.532777777,69.165833333
