capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country
Managua,Autumn,1999,26.178021978021977,0.7584050805329999,593.1,62,0.0,0,42758.46692307693,31954.171318681318,0,Nicaragua
Manama,Autumn,1999,28.91978021978022,3.8295987541551444,0.0,0,0.0,0,41676.646263736264,38086.16142857143,4,Bahrain
Manila,Autumn,1999,26.615934065934066,0.5912265556018603,522.4,51,0.0,0,42580.85340659341,32135.08934065934,0,Philippines
Maputo,Autumn,1999,22.043406593406594,2.5435671451199826,283.8,28,0.0,0,45609.72186813187,34938.334615384614,3,Mozambique
Maseru,Autumn,1999,16.448901098901096,4.139028187214279,135.5,23,0.0,0,45929.458021978025,40563.51065934066,3,Lesotho
Mexico City,Autumn,1999,13.88956043956044,1.9496084576070993,458.40000000000003,45,0.0,0,42225.30131868132,35619.20934065934,0,Mexico
Minsk,Autumn,1999,6.541208791208791,8.113588031494494,75.9,20,22.61,5,38257.158131868135,18058.626593406592,2,Belarus
Monrovia,Autumn,1999,25.480219780219777,0.6398298003236296,977.5,85,0.0,0,43170.57725274725,33896.01703296703,0,Liberia
Moroni,Autumn,1999,26.026923076923076,0.8868266676535735,116.3,42,0.0,0,44448.4856043956,41681.355604395605,3,Comoros
Moscow,Autumn,1999,4.146703296703297,9.42493089334465,93.7,17,14.0,5,37850.93186813187,18071.62824175824,2,Russia
Muscat,Autumn,1999,28.048901098901098,1.5916968238326006,1.4,0,0.0,0,41895.66967032967,38501.0143956044,4,Oman
N'Djamena,Autumn,1999,27.436813186813186,0.9596247867681033,130.9,18,0.0,0,42758.46692307693,37318.92428571428,3,Chad
Nairobi,Autumn,1999,18.635714285714286,1.1660066160067144,117.8,25,0.0,0,43700.40912087912,36766.94153846154,3,Kenya
Naypyidaw,Autumn,1999,25.102197802197804,1.6177987803719267,376.2,53,0.0,0,42198.478901098904,32289.82098901099,0,Myanmar
New Delhi,Autumn,1999,24.597252747252746,3.1639669424927366,138.9,22,0.0,0,41472.358681318685,34996.454835164834,3,India
Ngerulmud,Autumn,1999,26.624725274725275,0.4933093252251474,683.7,74,0.0,0,43086.89032967033,35454.47901098901,0,Palau
Niamey,Autumn,1999,28.3489010989011,1.444125610533507,103.2,11,0.0,0,42657.34175824176,38864.14912087912,3,Niger
Nicosia,Autumn,1999,22.225274725274726,4.387465565717195,51.2,11,0.0,0,40861.40208791209,36693.411868131865,3,Cyprus
Nouakchott,Autumn,1999,28.412637362637366,2.467529054276697,24.8,4,0.0,0,42321.02,38300.99153846154,4,Mauritania
Nuuk,Autumn,1999,-3.914285714285714,7.062908929023687,95.7,15,54.32,17,35256.94516483516,19837.865054945054,2,Greenland
Oranjestad,Autumn,1999,27.264285714285716,0.7019134844712268,478.7,69,0.0,0,42728.22450549451,36439.67923076923,0,Aruba
Oslo,Autumn,1999,8.416483516483517,5.062652219632268,242.0,33,12.18,3,36774.524175824175,16542.947472527474,2,Norway
