capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,capital_in_season,cluster,country,lat,lon
Abuja,Autumn,1995,25.346153846153847,0.9972804901673215,612.4,55,0.0,0,42978.835824175825,32718.24208791209,Abuja_in_Autumn,3,Nigeria,9.055555555,7.491388888
Abuja,Spring,1995,28.720652173913045,1.9201240827280266,313.5,36,0.0,0,44319.06760869565,35958.8127173913,Abuja_in_Spring,3,Nigeria,9.055555555,7.491388888
Abuja,Summer,1995,24.580434782608698,1.0761642436061658,834.4,83,0.0,0,45168.36065217391,23033.951739130436,Abuja_in_Summer,3,Nigeria,9.055555555,7.491388888
Abuja,Winter,1995,27.400555555555556,0.9373490723288506,5.8,3,0.0,0,42111.52777777778,38948.47688888889,Abuja_in_Winter,4,Nigeria,9.055555555,7.491388888
Accra,Autumn,1995,26.107142857142858,0.9803222664163774,77.3,24,0.0,0,43220.124615384615,37179.76208791209,Accra_in_Autumn,4,Ghana,5.55602,-0.1969
Accra,Spring,1995,28.08423913043478,0.7796142096028125,194.1,34,0.0,0,44045.1072826087,38105.925652173915,Accra_in_Spring,3,Ghana,5.55602,-0.1969
Accra,Summer,1995,25.4875,0.6664909337981766,256.5,42,0.0,0,44573.2322826087,32640.590434782607,Accra_in_Summer,3,Ghana,5.55602,-0.1969
Accra,Winter,1995,27.74888888888889,0.565684321473157,48.9,11,0.0,0,42692.32044444444,38028.66677777778,Accra_in_Winter,4,Ghana,5.55602,-0.1969
Addis Ababa,Autumn,1995,15.027472527472527,0.7214670138091225,284.40000000000003,24,0.0,0,42978.835824175825,38954.92098901099,Addis Ababa_in_Autumn,4,Ethiopia,9.027222222,38.736944444
Addis Ababa,Spring,1995,17.117391304347827,0.7905497733219474,349.3,35,0.0,0,44319.06760869565,39176.152717391305,Addis Ababa_in_Spring,3,Ethiopia,9.027222222,38.736944444
Addis Ababa,Summer,1995,15.652173913043478,0.8452814422869045,1069.3,77,0.0,0,45168.36065217391,35412.79891304348,Addis Ababa_in_Summer,3,Ethiopia,9.027222222,38.736944444
Addis Ababa,Winter,1995,15.658333333333333,0.8625559744090614,34.8,7,0.0,0,42111.52777777778,38750.61044444444,Addis Ababa_in_Winter,4,Ethiopia,9.027222222,38.736944444
Algiers,Autumn,1995,19.946153846153845,3.146340297068527,93.7,21,0.0,0,40698.78582417582,34611.82791208791,Algiers_in_Autumn,4,Algeria,36.776388888,3.058611111
Algiers,Spring,1995,15.546195652173912,3.330026842907784,117.8,15,0.0,0,47061.2122826087,40272.62880434783,Algiers_in_Spring,1,Algeria,36.776388888,3.058611111
Algiers,Summer,1995,24.44347826086957,2.6963978554965884,34.6,5,0.0,0,51082.6854347826,45349.81413043478,Algiers_in_Summer,4,Algeria,36.776388888,3.058611111
Algiers,Winter,1995,13.192777777777776,2.6107982453939824,258.9,32,0.0,0,36505.934222222226,30101.99822222222,Algiers_in_Winter,3,Algeria,36.776388888,3.058611111
Alofi,Autumn,1995,24.48901098901099,0.9116164580263822,354.6,34,0.0,0,45020.83208791209,37786.00846153846,Alofi_in_Autumn,3,Niue,-19.056,-169.921
Alofi,Spring,1995,25.72717391304348,0.8889249292608713,556.8,48,0.0,0,42102.02489130435,34020.191847826085,Alofi_in_Spring,3,Niue,-19.056,-169.921
Alofi,Summer,1995,24.33641304347826,1.1180365260912302,288.1,28,0.0,0,40300.58347826087,32434.765,Alofi_in_Summer,3,Niue,-19.056,-169.921
Alofi,Winter,1995,25.91277777777778,0.7257913585389655,310.5,43,0.0,0,46967.327,41091.118888888894,Alofi_in_Winter,3,Niue,-19.056,-169.921
Amman,Autumn,1995,18.849450549450548,5.568470239290214,15.100000000000001,4,0.0,0,41177.13879120879,37047.709890109894,Amman_in_Autumn,4,Jordan,31.95,35.933333333
Amman,Spring,1995,16.659782608695654,5.414288377389993,24.9,7,0.0,0,46465.40913043478,42080.34858695652,Amman_in_Spring,4,Jordan,31.95,35.933333333
Amman,Summer,1995,25.231521739130436,1.860487313441901,0.0,0,0.0,0,49799.04967391305,45902.19,Amman_in_Summer,4,Jordan,31.95,35.933333333
Amman,Winter,1995,8.953888888888889,1.4808369137226753,54.6,13,0.0,0,37700.14877777778,32260.23077777778,Amman_in_Winter,4,Jordan,31.95,35.933333333
Amsterdam,Autumn,1995,11.90989010989011,3.9830349942685372,123.2,26,0.0,0,38564.00868131868,23453.073516483517,Amsterdam_in_Autumn,2,Kingdom of the Netherlands,52.366666666,4.883333333
Amsterdam,Spring,1995,8.798913043478262,3.80555535405741,212.6,35,4.970000000000001,3,49814.695869565214,35940.49,Amsterdam_in_Spring,2,Kingdom of the Netherlands,52.366666666,4.883333333
Amsterdam,Summer,1995,17.55163043478261,3.7686783987108403,118.4,24,0.0,0,57094.035652173916,42123.51739130435,Amsterdam_in_Summer,1,Kingdom of the Netherlands,52.366666666,4.883333333
Amsterdam,Winter,1995,3.3433333333333333,3.877384731948915,193.7,34,10.08,2,31044.95022222222,14250.835333333333,Amsterdam_in_Winter,2,Kingdom of the Netherlands,52.366666666,4.883333333
Andorra la Vella,Autumn,1995,10.945604395604395,3.9388636852075893,142.70000000000002,23,0.0,0,40051.097582417584,32474.674505494506,Andorra la Vella_in_Autumn,2,Andorra,42.507222222,1.522222222
Andorra la Vella,Spring,1995,8.382065217391304,4.455201809181612,136.4,21,11.76,4,47881.67391304348,39996.80880434783,Andorra la Vella_in_Spring,2,Andorra,42.507222222,1.522222222
Andorra la Vella,Summer,1995,17.953260869565216,3.495772991817419,262.6,33,0.0,0,52856.15619565218,44261.14141304348,Andorra la Vella_in_Summer,1,Andorra,42.507222222,1.522222222
Andorra la Vella,Winter,1995,2.553888888888889,3.5405454713513587,167.9,22,22.12,5,34872.91088888889,25950.605222222224,Andorra la Vella_in_Winter,2,Andorra,42.507222222,1.522222222
Antananarivo,Autumn,1995,18.87912087912088,1.9260071814517326,42.7,8,0.0,0,45003.694175824174,37997.421428571426,Antananarivo_in_Autumn,4,Madagascar,-18.91,47.525
