capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country,lat,lon
Port Moresby,Winter,1997,27.003333333333334,1.2551422319689098,715.2,65,0.0,0,45215.93877777778,33983.34977777778,2,Papua New Guinea,-9.478888888,147.149444444
Port-au-Prince,Winter,1997,27.16111111111111,1.5369563125270447,52.5,14,0.0,0,40456.50911111111,36979.847555555556,3,Haiti,18.546944444,-72.340277777
Porto-Novo,Winter,1997,27.502777777777776,0.5582557663152427,118.5,23,0.0,0,42543.57922222222,37612.56,3,Benin,6.483333333,2.616666666
Prague,Winter,1997,-0.17166666666666675,5.783724015126076,85.0,21,16.52,3,32132.391888888887,14866.225666666667,4,Czech Republic,50.0875,14.421388888
Praia,Winter,1997,23.531666666666666,1.0011075327530161,4.3,2,0.0,0,41100.23822222222,36196.542555555556,3,Cape Verde,14.917719444,-23.509155555
Prishtina,Winter,1997,2.4188888888888886,2.7689041536742844,75.9,17,18.69,5,34868.06511111111,20721.405555555557,4,Kosovo,42.666666666,21.166666666
Pyongyang,Winter,1997,-3.2305555555555556,4.3709311380680465,58.199999999999996,9,17.43,8,35930.29977777778,27859.736555555555,4,North Korea,39.016666666,125.7475
Quito,Winter,1997,12.542222222222222,1.1803377709084848,731.5,84,0.0,0,43665.496666666666,27780.112,2,Ecuador,-0.22,-78.5125
Rabat,Winter,1997,14.444444444444445,1.587104714025951,236.8,22,0.0,0,37227.644111111105,29884.073111111113,0,Morocco,34.025277777,-6.836111111
Reykjavík,Winter,1997,-0.6694444444444444,4.058973236279583,231.0,35,112.7,33,21959.05088888889,6882.686,1,Iceland,64.1475,-21.935
Riga,Winter,1997,-2.8188888888888886,4.775579132935747,55.9,14,49.0,18,28499.86111111111,8219.135222222223,1,Latvia,56.9475,24.106944444
Riyadh,Winter,1997,14.465555555555557,3.240991355864593,15.9,3,0.0,0,39289.932,34883.36555555555,3,Saudi Arabia,24.65,46.71
Rome,Winter,1997,9.137222222222222,1.8643244568474395,188.2,24,0.0,0,35108.23488888889,24842.334,0,Italy,41.893055555,12.482777777
Roseau,Winter,1997,25.204444444444444,0.8470585073396211,85.5,33,0.0,0,41038.15211111111,37581.92288888889,3,Dominica,15.3,-61.383333333
