capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country
Abuja,Spring,2016,29.004891304347826,1.5955821525818858,258.7,39,0.0,0,44342.507608695654,35418.489565217395,3,Nigeria
Accra,Spring,2016,28.341847826086955,0.9415406235629955,182.3,34,0.0,0,44059.63217391304,37107.19336956522,3,Ghana
Addis Ababa,Spring,2016,17.541847826086954,1.1333912249952887,489.5,54,0.0,0,44342.507608695654,37050.02184782609,4,Ethiopia
Algiers,Spring,2016,15.510326086956523,3.1811993906117366,227.1,26,0.0,0,47172.046739130434,39421.98217391304,3,Algeria
Alofi,Spring,2016,25.85054347826087,0.7827289036124893,255.3,34,0.0,0,42051.8572826087,35367.85434782609,3,Niue
Amman,Spring,2016,18.070652173913043,4.6101068625663055,43.699999999999996,11,0.0,0,46557.44282608696,41963.033804347826,1,Jordan
Amsterdam,Spring,2016,9.170108695652173,4.398120601259162,179.6,37,1.7500000000000002,1,50012.58467391304,33797.00228260869,2,Kingdom of the Netherlands
Andorra la Vella,Spring,2016,7.766304347826087,4.462044501921036,228.4,32,10.290000000000001,3,48018.35586956522,38000.962608695656,2,Andorra
Antananarivo,Spring,2016,18.857608695652175,2.655431245192676,181.3,23,0.0,0,42070.19097826087,31562.838260869565,3,Madagascar
Apia,Spring,2016,27.057065217391305,0.5794361375149041,1073.5,78,0.0,0,42498.980434782614,31913.23793478261,4,Samoa
Asmara,Spring,2016,18.8375,1.1182213358919406,183.8,27,0.0,0,44883.10065217392,40131.1397826087,3,Eritrea
Astana,Spring,2016,6.710326086956522,7.105161945101968,69.2,23,6.58,2,49718.27836956522,36602.17673913043,2,Kazakhstan
Asunción,Spring,2016,22.398369565217394,5.236093308626765,392.0,25,0.0,0,41491.73717391304,28549.831195652172,3,Paraguay
Athens,Spring,2016,17.12554347826087,3.9986501469982185,98.5,13,0.0,0,47336.955108695656,40885.986739130436,1,Greece
Avarua,Spring,2016,24.49891304347826,0.871810616244851,323.8,30,0.0,0,41866.03673913043,33701.46717391304,3,Cook Islands
Baghdad,Spring,2016,24.319021739130434,5.8205011037215115,79.6,10,0.0,0,46718.78021739131,40475.53597826087,1,Iraq
Baku,Spring,2016,13.973369565217391,4.800180005135319,74.3,18,3.01,1,47686.01695652174,35584.529565217395,2,Azerbaijan
Bamako,Spring,2016,32.545108695652175,1.6775351453485585,10.2,3,0.0,0,44644.78815217391,39802.78347826087,1,Mali
Bandar Seri Begawan,Spring,2016,28.368478260869566,0.5703631670956312,403.8,70,0.0,0,44002.594673913045,36824.22380434782,4,Brunei
Bangui,Spring,2016,28.57663043478261,1.2362752255664013,337.4,48,0.0,0,43962.78369565217,35594.372065217394,4,Central African Republic
Basseterre,Spring,2016,25.730434782608693,0.8210471912170737,148.5,37,0.0,0,45058.89728260869,40107.18847826087,3,Saint Kitts and Nevis
Beijing,Spring,2016,14.576630434782608,6.665341928720222,49.9,9,0.0,0,47611.900434782605,37609.123043478256,1,People's Republic of China
Beirut,Spring,2016,18.45054347826087,3.715105004692476,183.2,19,0.0,0,46797.17141304347,41857.14847826087,3,Lebanon
Belgrade,Spring,2016,12.956521739130435,4.659818992565941,231.9,35,0.0,0,48415.016304347824,32932.280543478264,2,Serbia
Belmopan,Spring,2016,27.171739130434784,1.951278875476428,130.7,29,0.0,0,45052.543152173916,39469.850326086955,3,Belize
Berlin,Spring,2016,9.459239130434783,5.311385910836887,100.2,29,0.63,0,50066.5197826087,33190.36706521739,2,Germany
Bishkek,Spring,2016,11.291304347826086,3.8777656468447157,421.7,45,5.04,1,48076.23271739131,36124.06554347826,2,Kyrgyzstan
Bissau,Spring,2016,29.01304347826087,1.1227632113932562,7.4,1,0.0,0,44578.77597826087,41329.14978260869,1,Guinea-Bissau
Bogotá,Spring,2016,15.951630434782608,0.8544791835425264,814.3,68,0.0,0,43979.83456521739,28894.356086956523,4,Colombia
Brasília,Spring,2016,23.22608695652174,1.073442604577675,212.8,23,0.0,0,42334.55423913043,36651.69391304348,3,Brazil
Bratislava,Spring,2016,10.632608695652175,4.569508562694566,149.6,26,2.24,1,49048.64750000001,34159.855217391305,2,Slovakia
