capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,capital_in_season,cluster,country,lat,lon
Abuja,Autumn,1998,25.974175824175827,1.551457426589638,352.3,48,0.0,0,42971.69802197802,33180.9443956044,Abuja_in_Autumn,3,Nigeria,9.055555555,7.491388888
Abuja,Spring,1998,29.70434782608696,1.9650329552071553,201.8,25,0.0,0,44326.03130434782,35664.48836956522,Abuja_in_Spring,3,Nigeria,9.055555555,7.491388888
Abuja,Summer,1998,24.68586956521739,1.3907134323546584,1035.2,80,0.0,0,45164.95173913043,24493.20456521739,Abuja_in_Summer,3,Nigeria,9.055555555,7.491388888
Abuja,Winter,1998,28.47388888888889,1.475040044738795,0.0,0,0.0,0,42114.835,39001.24488888889,Abuja_in_Winter,4,Nigeria,9.055555555,7.491388888
Accra,Autumn,1998,26.35769230769231,0.9999700850226366,121.6,34,0.0,0,43215.76186813187,36096.738021978024,Accra_in_Autumn,3,Ghana,5.55602,-0.1969
Accra,Spring,1998,28.9875,0.6625220294906741,96.4,21,0.0,0,44049.421521739125,39341.45902173913,Accra_in_Spring,4,Ghana,5.55602,-0.1969
Accra,Summer,1998,25.536956521739132,1.066339882655436,103.3,22,0.0,0,44571.10413043478,35911.11369565217,Accra_in_Summer,4,Ghana,5.55602,-0.1969
Accra,Winter,1998,28.223333333333333,1.0504199267302134,45.2,10,0.0,0,42694.32477777778,38371.81422222222,Accra_in_Winter,4,Ghana,5.55602,-0.1969
Addis Ababa,Autumn,1998,14.636263736263738,1.0353224386115445,441.5,49,0.0,0,42971.69802197802,38652.49505494505,Addis Ababa_in_Autumn,3,Ethiopia,9.027222222,38.736944444
Addis Ababa,Spring,1998,17.942391304347826,0.9592217192790938,323.0,31,0.0,0,44326.03130434782,39320.08391304348,Addis Ababa_in_Spring,3,Ethiopia,9.027222222,38.736944444
Addis Ababa,Summer,1998,16.083695652173912,0.965336264809682,1129.2,83,0.0,0,45164.95173913043,34603.52141304348,Addis Ababa_in_Summer,3,Ethiopia,9.027222222,38.736944444
Addis Ababa,Winter,1998,15.82,1.6618792665621702,56.6,13,0.0,0,42114.835,38149.51833333333,Addis Ababa_in_Winter,4,Ethiopia,9.027222222,38.736944444
Algiers,Autumn,1998,19.11208791208791,4.644664445835441,188.1,24,0.0,0,40664.58956043956,35044.19186813187,Algiers_in_Autumn,1,Algeria,36.776388888,3.058611111
Algiers,Spring,1998,15.487499999999999,2.6387083191225575,250.9,26,0.0,0,47094.14239130435,38737.41836956522,Algiers_in_Spring,1,Algeria,36.776388888,3.058611111
Algiers,Summer,1998,24.86521739130435,2.69637260536206,9.9,3,0.0,0,51066.50239130435,45845.15586956521,Algiers_in_Summer,4,Algeria,36.776388888,3.058611111
Algiers,Winter,1998,12.030555555555555,1.6249234112365176,141.8,27,0.0,0,36522.08833333333,30529.119111111115,Algiers_in_Winter,3,Algeria,36.776388888,3.058611111
Alofi,Autumn,1998,24.775824175824173,1.4732496702747238,128.6,20,0.0,0,45036.6689010989,39579.52637362637,Alofi_in_Autumn,4,Niue,-19.056,-169.921
Alofi,Spring,1998,25.133152173913043,0.7922452852325793,195.5,23,0.0,0,42087.119239130436,36527.6172826087,Alofi_in_Spring,3,Niue,-19.056,-169.921
Alofi,Summer,1998,23.22608695652174,0.8636263392775438,133.6,17,0.0,0,40307.750326086956,34147.2272826087,Alofi_in_Summer,4,Niue,-19.056,-169.921
Alofi,Winter,1998,26.185555555555553,0.5286321358763089,612.2,62,0.0,0,46959.818,38885.21555555555,Alofi_in_Winter,3,Niue,-19.056,-169.921
Amman,Autumn,1998,21.342307692307692,3.811342159899717,0.5,0,0.0,0,41148.73593406594,37201.4421978022,Amman_in_Autumn,4,Jordan,31.95,35.933333333
Amman,Spring,1998,16.393478260869564,5.82982676212984,58.5,12,0.56,0,46492.752717391304,41211.660652173916,Amman_in_Spring,1,Jordan,31.95,35.933333333
Amman,Summer,1998,26.339673913043477,2.386840502590505,0.3,0,0.0,0,49785.661630434784,45922.2072826087,Amman_in_Summer,4,Jordan,31.95,35.933333333
Amman,Winter,1998,9.453333333333333,2.798874171736464,94.3,18,4.48,3,37713.51888888889,30350.933333333334,Amman_in_Winter,2,Jordan,31.95,35.933333333
Amsterdam,Autumn,1998,9.86043956043956,5.306235935636464,384.0,55,0.21000000000000002,0,38503.34692307692,17985.904175824176,Amsterdam_in_Autumn,2,Kingdom of the Netherlands,52.366666666,4.883333333
Amsterdam,Spring,1998,10.095108695652174,4.140732136400283,268.3,47,0.98,0,49873.504565217394,28784.013804347825,Amsterdam_in_Spring,1,Kingdom of the Netherlands,52.366666666,4.883333333
Amsterdam,Summer,1998,15.751086956521737,1.9512461256604507,264.8,46,0.0,0,57064.29119565217,37100.87010869565,Amsterdam_in_Summer,1,Kingdom of the Netherlands,52.366666666,4.883333333
Amsterdam,Winter,1998,5.251111111111111,3.321042696843445,156.8,28,1.96,0,31074.279555555557,15294.619444444445,Amsterdam_in_Winter,2,Kingdom of the Netherlands,52.366666666,4.883333333
Andorra la Vella,Autumn,1998,9.893956043956043,5.24980335697779,136.3,21,3.92,1,40008.97516483516,31688.738131868133,Andorra la Vella_in_Autumn,2,Andorra,42.507222222,1.522222222
Andorra la Vella,Spring,1998,7.989673913043478,4.262464192389175,203.7,32,19.39,4,47922.285978260865,39094.10760869565,Andorra la Vella_in_Spring,2,Andorra,42.507222222,1.522222222
Andorra la Vella,Summer,1998,18.889130434782608,3.306336125714745,150.3,22,0.0,0,52836.066086956525,46297.257065217396,Andorra la Vella_in_Summer,1,Andorra,42.507222222,1.522222222
Andorra la Vella,Winter,1998,3.392777777777778,3.3910702389942853,75.2,13,29.61,8,34892.923111111115,27051.899,Andorra la Vella_in_Winter,2,Andorra,42.507222222,1.522222222
Antananarivo,Autumn,1998,18.372527472527473,2.0591295860179963,36.8,7,0.0,0,45019.34274725275,38177.03494505495,Antananarivo_in_Autumn,4,Madagascar,-18.91,47.525
Antananarivo,Spring,1998,19.42608695652174,2.013941494682461,68.2,12,0.0,0,42105.029130434785,35679.48684782609,Antananarivo_in_Spring,4,Madagascar,-18.91,47.525
Antananarivo,Summer,1998,14.634239130434782,1.577641328682939,6.9,1,0.0,0,40347.12173913044,30158.839565217393,Antananarivo_in_Summer,4,Madagascar,-18.91,47.525
Antananarivo,Winter,1998,20.924444444444443,0.9863462380793468,1153.4,71,0.0,0,46919.59555555555,30845.819666666666,Antananarivo_in_Winter,3,Madagascar,-18.91,47.525
Apia,Autumn,1998,26.29230769230769,0.5986059303323509,625.7,79,0.0,0,44617.65417582417,38953.13131868132,Apia_in_Autumn,3,Samoa,-13.833333333,-171.833333333
Apia,Spring,1998,26.782608695652176,0.603990156322556,482.5,52,0.0,0,42523.95923913043,36441.51543478261,Apia_in_Spring,3,Samoa,-13.833333333,-171.833333333
Apia,Summer,1998,25.589130434782607,0.8112135153060479,253.7,59,0.0,0,41265.49771739131,37376.22847826087,Apia_in_Summer,3,Samoa,-13.833333333,-171.833333333
Apia,Winter,1998,26.921111111111113,0.6716982409098974,826.7,67,0.0,0,45985.611000000004,35560.05811111111,Apia_in_Winter,3,Samoa,-13.833333333,-171.833333333
Asmara,Autumn,1998,17.037912087912087,1.4294781615707923,142.7,24,0.0,0,42513.17747252747,37923.50384615385,Asmara_in_Autumn,4,Eritrea,15.333333333,38.916666666
Asmara,Spring,1998,18.358152173913044,1.5179743076108536,147.7,27,0.0,0,44854.73076086956,40542.212934782605,Asmara_in_Spring,1,Eritrea,15.333333333,38.916666666
Asmara,Summer,1998,18.980978260869566,1.178489496782941,718.4,58,0.0,0,46296.44913043478,33809.404891304344,Asmara_in_Summer,3,Eritrea,15.333333333,38.916666666
Asmara,Winter,1998,15.163333333333334,1.2056235274278784,0.6000000000000001,0,0.0,0,41020.12766666667,37985.75055555556,Asmara_in_Winter,4,Eritrea,15.333333333,38.916666666
Astana,Autumn,1998,2.7010989010989013,11.313698624091794,37.2,12,9.94,3,38722.564065934064,23756.37351648352,Astana_in_Autumn,2,Kazakhstan,51.133333333,71.433333333
