Type,Mean_Stability_ARI,Inertia,Silhouette,DBI,CH,GAPS,BIC,AIC
KMeans,"0.766 ± 0.164",299.05800639524165,0.3555851412025504,0.994649545276028,132.7341448766495,0.62919462,-172.03112226032408,-865.0311672410389
DBSCAN,"0.766 ± 0.164",-,0.38369260171250963,2.34597897354088,60.90262954131291,-,-172.03112226032408,-865.0311672410389
AGGOLMERATIVE,,,0.3242243396790016,1.0068455589250815,
BIRCH,
